cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
6,101.7,98.0,3090.0,12.4,82,2,42.7
4,71.6,211.0,1927.0,15.8,77,1,24.8
4,209.8,76.0,3943.0,15.5,74,1,39.4
6,432.8,217.0,1676.0,16.9,77,2,36.7
4,419.6,107.0,3132.0,22.4,73,2,26.9
6,112.5,206.0,3075.0,21.3,77,2,16.6
8,72.8,221.0,2517.0,22.8,72,2,30.4
6,358.6,227.0,5072.0,17.7,77,1,45.0
4,186.6,194.0,3052.0,18.5,75,2,16.1
6,391.0,65.0,4821.0,15.3,78,2,18.7
4,151.4,56.0,3454.0,20.2,82,1,46.7
4,258.5,182.0,4554.0,11.5,74,3,42.9
8,80.8,211.0,3225.0,16.1,70,1,29.9
4,414.3,77.0,5170.0,20.1,77,1,35.4
4,136.9,219.0,3904.0,21.2,80,1,25.8
4,182.1,158.0,2161.0,12.2,72,1,24.4
6,253.6,69.0,1623.0,11.1,80,1,25.8
4,173.0,77.0,4944.0,12.9,74,1,24.7
4,83.5,58.0,4072.0,23.6,71,1,34.7
4,79.3,72.0,1983.0,10.2,76,3,21.6
8,437.7,181.0,4277.0,24.2,74,1,15.5
8,194.0,86.0,2418.0,24.9,81,1,35.8
6,197.4,149.0,4513.0,21.3,76,1,10.2
8,425.2,179.0,3796.0,20.9,81,1,36.3
8,391.6,211.0,2045.0,24.2,76,1,19.0
6,333.8,155.0,1855.0,12.9,74,3,16.2
8,322.8,151.0,3278.0,10.2,74,2,23.4
4,378.0,214.0,4973.0,22.0,78,2,13.5
4,133.4,100.0,3633.0,10.9,72,1,23.6
4,325.1,83.0,4333.0,8.8,77,3,12.9
8,106.1,207.0,3290.0,11.3,70,3,27.4
6,117.0,60.0,2983.0,15.4,73,3,15.7
8,161.9,81.0,4560.0,16.4,81,2,13.9
6,342.7,122.0,3268.0,9.1,71,2,31.0
4,413.4,112.0,2110.0,15.5,72,3,32.8
6,335.3,176.0,2588.0,18.3,80,2,9.2
4,229.2,63.0,3621.0,23.8,75,2,23.7
8,266.8,134.0,3049.0,11.9,73,1,12.0
8,343.7,195.0,2919.0,11.6,70,1,37.1
6,305.3,172.0,4008.0,14.6,74,1,34.9
8,272.9,162.0,3891.0,24.7,72,3,10.9
6,159.6,90.0,2730.0,13.7,82,1,44.8
8,306.8,118.0,2894.0,8.7,81,3,45.5
8,75.2,79.0,4307.0,12.5,71,1,21.7
8,284.7,140.0,4917.0,17.5,73,3,14.0
6,385.6,153.0,2767.0,15.0,82,2,13.3
6,137.6,162.0,2651.0,21.2,73,3,40.9
6,112.2,207.0,2555.0,18.3,72,2,26.4
8,443.5,57.0,2109.0,17.5,74,1,9.4
4,394.4,117.0,2958.0,13.5,74,2,44.2
6,184.9,155.0,3458.0,17.4,77,2,31.5
4,148.7,151.0,3535.0,18.5,79,1,35.2
6,197.3,50.0,4088.0,11.0,76,3,40.3
6,234.9,81.0,1789.0,20.5,80,3,40.1
4,385.8,202.0,3621.0,14.7,78,3,11.9
4,160.6,141.0,2518.0,20.6,76,1,30.8
8,347.0,122.0,2461.0,11.0,71,3,35.5
4,427.6,212.0,4443.0,19.2,72,2,12.3
6,214.9,60.0,2153.0,8.5,75,1,17.5
4,78.1,216.0,2785.0,10.7,70,3,24.0
4,388.3,51.0,3895.0,23.1,77,2,42.7
4,342.2,150.0,3914.0,15.8,76,2,41.3
4,125.7,148.0,1773.0,16.6,75,3,38.7
8,299.0,164.0,1861.0,23.4,74,1,46.6
6,387.2,51.0,3959.0,16.2,79,2,18.2
6,138.1,144.0,5031.0,19.1,74,2,26.8
6,154.3,67.0,5195.0,11.8,82,2,26.0
8,146.1,75.0,5154.0,9.4,77,2,34.8
4,454.0,86.0,2866.0,14.0,77,3,41.3
6,156.8,159.0,2471.0,21.6,82,1,27.7
6,171.3,118.0,1955.0,15.6,72,2,27.7
4,86.5,62.0,2773.0,10.9,78,2,32.1
6,448.5,99.0,2597.0,17.3,72,2,37.2
4,163.5,60.0,3676.0,12.5,82,1,16.6
8,348.7,168.0,2928.0,24.1,79,2,45.6
6,78.2,149.0,2434.0,17.8,77,1,12.5
6,371.2,121.0,3805.0,24.7,76,1,9.9
4,358.5,217.0,2763.0,8.7,82,1,22.6
8,100.6,141.0,2873.0,8.2,78,1,35.7
6,115.4,209.0,3754.0,16.1,80,3,46.2
4,182.2,153.0,2026.0,22.7,78,3,44.4
8,205.3,115.0,4387.0,16.9,80,3,35.2
4,371.2,145.0,5076.0,22.9,70,2,25.6
6,91.7,74.0,3367.0,10.2,70,1,31.6
