vibration_x,vibration_y,vibration_z,rpm,temperature,fault
-0.7669,0.7714,-0.7019,1462.0,86.1,inner_race
-1.3429,0.311,-0.1768,744.0,92.4,outer_race
-0.6581,-0.8219,-0.3679,1435.0,50.1,outer_race
1.7437,-0.1721,-0.9072,2468.0,89.7,ball
-0.605,0.0834,0.4223,1316.0,81.4,inner_race
-0.93,0.1018,2.2904,1624.0,96.6,normal
-1.3505,1.2304,-0.4154,1634.0,54.3,normal
-0.9634,0.1757,-0.0039,2411.0,84.6,normal
-0.3001,0.26,-1.1881,1420.0,75.4,ball
-0.5809,1.1652,1.4833,925.0,98.1,outer_race
0.7523,-0.0567,-0.6124,587.0,81.6,normal
-0.266,-0.1961,1.6744,2407.0,68.7,normal
-0.9045,0.0466,-0.4559,1632.0,81.4,outer_race
1.2531,-0.9517,0.5087,1612.0,99.8,ball
-0.4114,-1.2447,0.6106,1307.0,87.6,inner_race
0.6258,-0.3637,0.2772,632.0,96.6,inner_race
0.6733,0.283,-1.8899,2352.0,97.8,outer_race
-0.3401,1.3455,-1.5524,2439.0,88.4,inner_race
-0.1534,-0.6414,0.8994,2854.0,52.9,normal
-0.0095,1.274,0.3835,1570.0,88.6,outer_race
0.8839,-1.6365,-0.383,879.0,44.8,normal
-0.896,-0.0489,1.7968,1512.0,63.0,outer_race
-0.3713,0.6229,1.1819,1466.0,98.7,normal
1.4544,-0.8777,-0.1317,1859.0,70.6,outer_race
0.2766,0.8975,-1.1929,954.0,71.8,normal
1.2382,-1.1627,-0.0881,1396.0,83.6,normal
-1.1908,-0.9298,1.0899,2831.0,57.9,inner_race
1.6781,-0.7819,-0.4863,2607.0,42.7,normal
0.7112,1.1302,0.0055,798.0,52.6,outer_race
0.8362,0.8689,-0.4622,611.0,87.1,outer_race
-0.8895,0.1246,-1.0429,1940.0,61.9,normal
1.1018,0.7395,-1.6229,2657.0,47.5,ball
-1.3813,0.5731,0.9459,1871.0,78.0,outer_race
0.2909,0.2262,-0.8775,1323.0,71.2,inner_race
-0.0617,-0.5928,-0.162,2968.0,66.9,inner_race
0.8469,-0.9102,0.4842,501.0,53.9,inner_race
0.2841,-0.3508,1.8623,705.0,84.8,normal
1.1639,0.2644,-0.4045,612.0,73.5,ball
0.9179,0.0915,2.388,733.0,99.0,normal
1.5429,-0.7564,-1.7883,1808.0,91.8,outer_race
0.1813,2.1298,2.0,1215.0,54.3,ball
-0.7307,0.8858,0.8516,2895.0,71.9,outer_race
0.5006,-0.2919,-1.1226,2459.0,71.7,inner_race
-0.9929,0.186,-0.2435,1011.0,48.8,inner_race
0.6845,-0.5145,1.01,1384.0,88.7,ball
1.4352,2.6032,-0.3069,2674.0,60.2,inner_race
-1.1473,-0.752,0.6004,929.0,48.5,outer_race
1.4474,-0.2496,-1.7251,2254.0,54.5,outer_race
-0.6359,-0.527,0.2389,1907.0,98.3,inner_race
-1.6167,0.0344,-0.4794,1879.0,73.8,outer_race
-0.8137,-0.3088,-1.1876,2071.0,41.2,inner_race
1.9351,0.5918,-0.3938,1427.0,71.6,outer_race
-0.704,-0.5729,-0.5197,2069.0,98.7,ball
-2.2842,-0.0637,-0.2755,2385.0,45.5,inner_race
-1.1882,0.0177,0.6314,1811.0,62.8,normal
0.9538,1.6154,-0.7644,1615.0,63.9,ball
0.8773,1.0315,-0.7777,702.0,49.1,normal
-0.4742,1.019,-0.6005,549.0,65.6,ball
0.598,1.7077,-0.5879,1267.0,46.5,outer_race
0.5404,0.0815,1.2868,576.0,81.7,normal
-0.4257,0.3364,0.5149,2896.0,95.7,inner_race
1.2129,-0.2168,-0.0496,543.0,64.8,ball
-0.4526,0.5921,-1.452,2878.0,98.5,ball
0.0051,1.7548,0.7776,2169.0,73.4,ball
-1.1831,-2.2382,-0.0493,767.0,42.1,normal
0.2769,1.0416,-1.4297,1136.0,50.0,ball
0.9234,1.6865,-0.5035,2945.0,46.1,normal
-0.3423,1.294,0.4306,511.0,82.3,normal
-0.2987,-1.3374,2.0282,557.0,83.9,inner_race
-2.2575,-1.5244,0.3018,2712.0,63.9,ball
0.9747,0.4036,0.3048,1737.0,89.8,ball
-0.557,-1.4652,-0.5067,673.0,92.6,normal
-0.7708,-3.0968,0.4574,2528.0,55.7,inner_race
-0.6179,0.7057,0.8038,1524.0,91.1,normal
-1.6079,1.5918,-0.4089,1598.0,88.3,ball
-0.2603,1.1859,-0.6128,2630.0,64.6,normal
-1.1821,1.2989,0.1434,569.0,62.3,normal
-0.394,-0.4353,-0.1147,2708.0,98.6,normal
0.403,-0.1731,0.3121,2434.0,64.7,inner_race
-0.4948,-0.7336,2.1463,994.0,57.9,normal
-0.5446,-1.0869,1.5831,1495.0,76.4,ball
1.9455,0.3025,0.1031,1955.0,92.5,normal
-1.2727,0.5818,-1.465,1078.0,77.4,ball
-0.3252,-1.3117,-0.4604,1157.0,93.3,outer_race
0.5249,-1.4572,0.9318,1792.0,88.1,ball
0.8894,0.1905,0.332,1988.0,93.4,inner_race
-1.251,1.3414,-2.2006,1408.0,86.7,outer_race
0.419,-0.3694,-0.447,2893.0,76.1,inner_race
