relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,heating_load,cooling_load
0.99,698.6,346.3,161.8,7.0,3,0.0,13.4,38.41
0.9,706.6,260.9,114.5,3.5,3,0.25,8.6,26.71
0.6,506.6,404.7,170.3,3.5,4,0.1,22.33,37.15
0.7,635.9,373.6,205.7,7.0,4,0.1,12.07,43.82
0.71,765.2,263.6,209.1,3.5,3,0.4,11.35,22.91
0.82,793.3,254.3,145.9,7.0,2,0.4,21.17,18.63
0.66,778.8,355.7,171.5,7.0,3,0.1,30.78,34.71
0.63,801.6,301.5,195.4,7.0,5,0.4,14.99,47.91
0.67,702.4,297.4,137.8,3.5,3,0.0,38.41,37.72
0.73,572.2,391.2,168.1,3.5,2,0.25,19.41,40.23
0.62,678.4,302.1,150.3,3.5,4,0.25,40.56,33.93
0.68,630.6,353.8,151.6,3.5,5,0.1,24.22,23.99
0.67,580.2,336.7,120.4,7.0,3,0.0,32.89,34.88
0.91,739.6,287.3,154.8,3.5,3,0.0,37.41,14.88
0.67,695.1,299.7,127.7,7.0,3,0.4,25.6,28.58
0.92,744.9,409.8,143.1,7.0,4,0.4,37.46,31.78
0.8,583.5,299.6,146.3,7.0,2,0.4,19.99,44.46
0.9,780.2,381.1,157.4,7.0,5,0.25,19.45,44.95
0.78,574.0,395.0,210.9,3.5,2,0.25,35.38,12.28
0.96,686.6,252.8,179.4,7.0,2,0.0,14.93,34.01
0.71,517.6,359.4,217.2,7.0,3,0.0,32.53,40.26
0.91,667.7,374.9,175.0,3.5,5,0.0,8.85,30.39
0.67,530.6,318.1,198.6,7.0,5,0.4,29.52,13.64
0.95,603.0,342.5,201.8,3.5,4,0.25,40.85,18.84
0.61,766.8,269.1,191.3,7.0,5,0.4,22.89,21.92
0.78,777.0,297.3,183.7,3.5,2,0.4,21.39,35.19
0.77,737.9,367.4,156.0,3.5,3,0.25,26.0,12.49
0.85,614.0,348.5,172.4,7.0,3,0.4,32.62,30.89
0.78,679.4,264.5,131.3,3.5,3,0.25,19.28,14.14
0.84,569.4,417.8,178.0,7.0,2,0.1,6.0,25.01
0.94,710.3,408.8,166.6,7.0,4,0.0,24.58,26.17
