timestamp,temperature,vibration,pressure,rpm,power_consumption,anomaly
2024-01-01 00:00:00,52.48,0.64,93.2,2618.0,67.05,0
2024-01-01 01:00:00,49.31,0.592,98.6,2828.0,79.53,0
2024-01-01 02:00:00,53.24,0.506,92.1,2917.0,80.27,0
2024-01-01 03:00:00,57.62,0.435,96.9,3378.0,87.09,0
2024-01-01 04:00:00,48.83,0.57,81.1,3111.0,59.5,0
2024-01-01 05:00:00,48.83,0.539,102.1,2733.0,88.89,0
2024-01-01 06:00:00,57.9,0.59,100.0,3097.0,39.43,0
2024-01-01 07:00:00,53.84,0.564,91.8,2691.0,70.55,0
2024-01-01 08:00:00,47.65,0.605,106.6,3217.0,72.68,0
2024-01-01 09:00:00,52.71,0.446,109.4,2906.0,89.5,0
2024-01-01 10:00:00,47.68,0.632,83.9,2981.0,80.34,0
2024-01-01 11:00:00,47.67,0.52,92.4,3265.0,58.92,0
2024-01-01 12:00:00,51.21,0.708,92.3,2743.0,65.23,0
2024-01-01 13:00:00,40.43,0.431,90.6,2721.0,82.98,0
2024-01-01 14:00:00,41.38,0.674,108.3,2883.0,78.81,0
2024-01-01 15:00:00,47.19,0.52,98.1,3208.0,71.31,0
2024-01-01 16:00:00,62.467973130783214,0.7485809459738311,97.4,2696.0,72.79,1
2024-01-01 17:00:00,51.57,0.452,80.0,2434.0,90.44,0
2024-01-01 18:00:00,45.46,0.468,106.4,2910.0,72.23,0
2024-01-01 19:00:00,42.94,0.542,87.6,3110.0,78.68,0
2024-01-01 20:00:00,57.33,0.552,100.6,3240.0,112.55,0
2024-01-01 21:00:00,61.414703040288195,0.7435473908173522,102.8,2907.0,58.64,1
2024-01-01 22:00:00,68.48076821896765,0.7328137684487467,113.6,2918.0,52.22,1
2024-01-01 23:00:00,42.88,0.714,86.9,3231.0,91.75,0
2024-01-02 00:00:00,47.28,0.673,69.8,2626.0,69.82,0
2024-01-02 01:00:00,50.55,0.544,101.8,2922.0,75.23,0
2024-01-02 02:00:00,44.25,0.504,118.0,3038.0,68.28,0
2024-01-02 03:00:00,51.88,0.512,112.4,3090.0,76.1,0
2024-01-02 04:00:00,47.0,0.561,102.1,2898.0,103.98,0
2024-01-02 05:00:00,48.54,0.398,95.1,3007.0,92.03,0
2024-01-02 06:00:00,46.99,0.474,108.1,2502.0,92.93,0
2024-01-02 07:00:00,59.26,0.333,90.3,2868.0,58.76,0
2024-01-02 08:00:00,49.93,0.54,104.8,3091.0,62.73,0
2024-01-02 09:00:00,44.71,0.565,105.1,2804.0,37.41,0
2024-01-02 10:00:00,54.11,0.452,110.6,3012.0,67.86,0
2024-01-02 11:00:00,43.9,0.657,127.6,3089.0,94.35,0
2024-01-02 12:00:00,51.04,0.377,103.9,2931.0,87.75,0
2024-01-02 13:00:00,40.2,0.354,94.9,3034.0,76.68,0
2024-01-02 14:00:00,55.96796633308306,0.7746362457479096,99.7,2807.0,79.67,1
2024-01-02 15:00:00,50.98,0.605,82.3,2959.0,69.67,0
2024-01-02 16:00:00,53.69,0.668,93.1,3122.0,83.07,0
2024-01-02 17:00:00,50.86,0.454,95.9,3031.0,91.49,0
2024-01-02 18:00:00,49.42,0.608,94.8,2883.0,55.76,0
2024-01-02 19:00:00,48.49,0.496,101.5,3045.0,84.49,0
2024-01-02 20:00:00,42.61,0.483,91.8,3143.0,93.99,0
2024-01-02 21:00:00,46.4,0.588,111.2,2590.0,73.77,0
2024-01-02 22:00:00,47.7,0.565,100.0,3232.0,90.51,0
2024-01-02 23:00:00,71.26918966646073,0.7040258039807481,99.9,2933.0,122.22,1
2024-01-03 00:00:00,51.72,0.648,96.7,3085.0,78.43,0
2024-01-03 01:00:00,41.18,0.638,101.6,3239.0,85.9,0
2024-01-03 02:00:00,51.62,0.437,108.3,2726.0,68.93,0
2024-01-03 03:00:00,48.07,0.54,91.3,2858.0,82.72,0
2024-01-03 04:00:00,46.62,0.549,93.4,2942.0,86.9,0
2024-01-03 05:00:00,53.06,0.526,97.0,2843.0,82.92,0
2024-01-03 06:00:00,55.15,0.445,86.5,3347.0,64.7,0
2024-01-03 07:00:00,54.66,0.433,91.8,2829.0,83.1,0
2024-01-03 08:00:00,45.8,0.497,95.2,2889.0,101.93,0
2024-01-03 09:00:00,48.45,0.617,108.7,3041.0,86.73,0
2024-01-03 10:00:00,51.66,0.554,102.6,2760.0,94.43,0
2024-01-03 11:00:00,54.88,0.463,101.9,2921.0,76.44,0
2024-01-03 12:00:00,47.6,0.577,108.5,3063.0,91.25,0
2024-01-03 13:00:00,49.07,0.215,98.6,2933.0,84.19,0
2024-01-03 14:00:00,44.47,0.615,103.9,2981.0,65.74,0
2024-01-03 15:00:00,44.02,0.326,99.0,2894.0,84.78,0
2024-01-03 16:00:00,54.06,0.464,102.7,2697.0,65.12,0
2024-01-03 17:00:00,56.78,0.388,94.2,3064.0,70.51,0
2024-01-03 18:00:00,49.64,0.371,75.6,3351.0,82.84,0
2024-01-03 19:00:00,63.990796604081964,0.9207199281739291,98.7,3004.0,84.46,1
2024-01-03 20:00:00,51.81,0.453,114.2,3045.0,62.16,0
2024-01-03 21:00:00,46.77,0.535,109.3,3139.0,95.81,0
2024-01-03 22:00:00,64.03733784817445,0.8452701387414991,109.7,2746.0,88.58,1
2024-01-03 23:00:00,57.69,0.548,112.4,3341.0,69.43,0
2024-01-04 00:00:00,49.82,0.508,100.9,3040.0,56.94,0
2024-01-04 01:00:00,57.82,0.372,102.0,3326.0,77.83,0
2024-01-04 02:00:00,36.9,0.6,93.8,2853.0,73.31,0
2024-01-04 03:00:00,54.11,0.451,96.8,3364.0,81.7,0
2024-01-04 04:00:00,50.44,0.344,106.2,3155.0,74.55,0
2024-01-04 05:00:00,48.5,0.457,112.0,3111.0,49.89,0
