Date_Time,p_mbar,T_degC,rh_pct,wv_ms,wd_deg
2020-01-01 00:00:00,1027.7,9.9,68.0,0.15,234.6
2020-01-01 01:00:00,995.0,10.0,48.7,0.75,188.9
2020-01-01 02:00:00,1014.9,10.1,43.0,0.08,304.0
2020-01-01 03:00:00,1048.3,10.2,49.8,5.01,170.7
2020-01-01 04:00:00,1040.4,10.3,74.0,0.13,196.9
2020-01-01 05:00:00,993.4,10.5,66.1,0.76,13.2
2020-01-01 06:00:00,992.6,10.4,41.5,0.78,64.8
2020-01-01 07:00:00,1038.0,10.1,93.6,2.29,325.4
2020-01-01 08:00:00,993.9,10.2,64.9,0.99,43.8
2020-01-01 09:00:00,1011.7,10.1,85.6,1.33,325.5
2020-01-01 10:00:00,992.7,10.1,53.1,3.29,228.9
2020-01-01 11:00:00,981.0,10.0,97.0,0.09,331.2
2020-01-01 12:00:00,1041.3,10.5,82.6,2.56,293.2
2020-01-01 13:00:00,1034.5,10.8,61.8,1.76,311.5
2020-01-01 14:00:00,1012.9,11.1,93.2,1.99,188.8
2020-01-01 15:00:00,991.2,11.2,80.2,2.12,297.1
2020-01-01 16:00:00,1036.4,11.3,60.1,1.74,165.8
2020-01-01 17:00:00,1005.2,11.5,98.2,0.15,15.9
2020-01-01 18:00:00,1026.3,11.3,50.9,0.89,234.5
2020-01-01 19:00:00,1002.2,11.0,48.0,1.63,262.2
2020-01-01 20:00:00,1010.3,11.2,92.6,1.99,36.6
2020-01-01 21:00:00,1017.5,11.3,79.5,0.82,293.7
2020-01-01 22:00:00,1033.3,11.7,54.2,1.21,27.1
2020-01-01 23:00:00,1038.2,12.0,46.2,0.67,159.0
2020-01-02 00:00:00,1011.0,11.9,42.5,1.1,175.7
2020-01-02 01:00:00,996.3,11.5,51.9,0.86,13.2
2020-01-02 02:00:00,990.8,11.6,38.8,1.58,23.7
2020-01-02 03:00:00,1003.9,11.6,40.2,1.04,162.2
2020-01-02 04:00:00,1036.1,11.5,84.4,0.28,112.1
2020-01-02 05:00:00,999.2,11.6,34.5,2.29,293.7
2020-01-02 06:00:00,983.3,11.3,60.8,0.62,149.0
2020-01-02 07:00:00,1019.5,11.1,58.3,0.75,38.0
2020-01-02 08:00:00,982.4,11.9,97.2,4.31,56.8
2020-01-02 09:00:00,1041.9,11.6,62.6,1.94,242.5
2020-01-02 10:00:00,1027.5,11.8,41.3,0.23,342.0
2020-01-02 11:00:00,998.0,12.1,36.2,0.32,313.1
2020-01-02 12:00:00,1012.8,12.3,81.3,4.48,46.6
2020-01-02 13:00:00,1031.7,12.5,40.3,1.18,5.9
2020-01-02 14:00:00,1044.1,12.7,95.7,2.39,9.5
2020-01-02 15:00:00,1041.2,12.7,69.1,0.8,199.7
2020-01-02 16:00:00,984.9,13.1,58.1,3.01,174.9
2020-01-02 17:00:00,985.7,13.5,77.9,1.31,4.8
2020-01-02 18:00:00,1021.8,13.8,43.9,0.35,20.6
2020-01-02 19:00:00,1014.8,14.3,56.8,3.9,359.9
2020-01-02 20:00:00,1000.5,14.6,32.3,2.82,347.4
2020-01-02 21:00:00,1048.3,14.5,91.4,1.61,45.6
2020-01-02 22:00:00,1032.2,14.3,59.8,3.65,59.1
2020-01-02 23:00:00,1028.1,14.4,83.1,4.64,324.1
2020-01-03 00:00:00,992.7,14.5,94.2,1.76,182.7
2020-01-03 01:00:00,999.9,14.6,75.7,1.13,344.9
2020-01-03 02:00:00,1022.4,15.1,56.3,3.09,187.3
2020-01-03 03:00:00,1035.7,15.0,73.4,2.4,207.8
2020-01-03 04:00:00,1045.2,14.9,55.2,1.84,79.2
2020-01-03 05:00:00,1028.8,15.0,69.7,1.01,315.4
2020-01-03 06:00:00,1009.3,15.0,60.3,0.38,297.0
2020-01-03 07:00:00,1028.4,14.4,40.5,0.82,121.5
2020-01-03 08:00:00,984.8,14.3,84.6,4.41,220.5
2020-01-03 09:00:00,1022.0,14.0,64.7,1.25,122.9
2020-01-03 10:00:00,1042.6,14.4,43.3,1.59,167.0
2020-01-03 11:00:00,1024.6,14.1,92.4,1.13,307.3
2020-01-03 12:00:00,980.5,14.1,89.7,1.93,149.6
2020-01-03 13:00:00,1028.6,14.1,69.1,1.12,302.6
2020-01-03 14:00:00,1030.9,14.3,97.9,0.58,345.6
2020-01-03 15:00:00,1017.9,14.4,94.9,1.48,149.9
2020-01-03 16:00:00,1037.1,14.5,92.8,0.69,315.9
2020-01-03 17:00:00,994.2,14.2,39.3,1.69,109.4
2020-01-03 18:00:00,1008.6,14.1,50.6,2.03,1.0
2020-01-03 19:00:00,1036.5,13.7,58.7,0.3,30.4
2020-01-03 20:00:00,1022.3,13.8,88.2,0.43,265.4
2020-01-03 21:00:00,1049.6,13.6,91.0,1.62,36.1
2020-01-03 22:00:00,984.8,14.0,82.6,1.35,338.1
2020-01-03 23:00:00,997.1,13.4,63.1,0.47,312.0
2020-01-04 00:00:00,993.9,14.0,41.3,2.09,185.3
2020-01-04 01:00:00,1048.3,14.0,32.5,0.31,209.3
2020-01-04 02:00:00,1040.8,14.0,79.0,1.78,250.0
2020-01-04 03:00:00,989.3,14.1,99.6,0.3,263.3
2020-01-04 04:00:00,1004.8,14.6,54.2,0.07,176.8
2020-01-04 05:00:00,983.7,15.1,69.8,2.87,112.8
2020-01-04 06:00:00,1024.3,15.1,86.7,0.53,327.7
2020-01-04 07:00:00,1003.2,14.5,43.1,3.18,16.8
2020-01-04 08:00:00,998.0,14.5,88.1,2.43,128.2
2020-01-04 09:00:00,1016.6,14.3,73.8,0.47,239.9
2020-01-04 10:00:00,1035.7,14.5,69.9,0.63,320.8
