temp,vibration,pressure,humidity,speed,quality_score,defect
55.8,0.362,153.1,42.0,742.0,13.39,0
103.7,1.139,90.1,21.5,446.0,78.39,0
96.7,2.416,102.3,30.8,1621.0,17.49,0
101.2,4.076,183.2,25.0,905.0,69.97,0
60.7,1.336,91.0,71.7,1339.0,24.06,0
97.3,1.951,109.0,33.3,387.0,46.83,0
124.5,0.705,80.5,73.0,678.0,78.33,0
63.3,1.458,166.3,57.6,1371.0,63.43,0
112.4,4.51,182.1,35.2,618.0,74.03,0
67.8,3.404,185.5,62.9,753.0,80.34,0
80.9,3.37,188.0,20.8,158.0,3.48,1
86.3,1.249,128.4,43.4,312.0,48.06,0
126.3,0.731,147.1,74.9,438.0,98.56,0
72.6,4.437,161.3,72.4,2004.0,79.53,0
76.4,4.718,189.8,75.3,535.0,36.58,0
137.0,0.268,175.6,61.1,2654.0,28.5,1
124.3,2.651,138.7,60.1,2378.0,70.48,1
100.6,2.199,141.2,48.5,2470.0,13.72,0
81.6,3.692,120.4,86.4,1121.0,88.27,0
129.2,1.509,81.4,86.5,267.0,8.19,0
106.3,3.103,97.3,20.6,322.0,55.91,0
83.0,0.413,119.8,87.4,2100.0,84.68,0
81.5,4.115,152.7,80.9,2777.0,72.0,0
95.7,1.193,165.7,62.4,608.0,48.56,0
144.9,1.57,186.9,42.7,2606.0,22.95,0
114.3,1.891,146.5,49.5,1994.0,60.04,0
117.9,1.033,127.3,79.4,2062.0,96.63,0
88.7,4.044,163.0,30.3,2123.0,9.54,0
147.7,0.343,127.0,63.5,280.0,3.15,0
90.7,4.668,93.0,36.2,1851.0,41.96,0
51.2,4.653,80.5,46.5,1502.0,59.12,1
130.1,4.137,165.0,20.3,2526.0,35.81,0
101.3,4.761,187.9,87.9,1342.0,71.77,0
65.0,3.806,161.4,27.6,1578.0,52.28,0
52.3,2.813,83.3,73.4,1783.0,34.71,0
149.2,3.608,106.3,59.3,1802.0,79.41,0
114.7,0.02,193.6,78.0,1260.0,9.94,1
96.6,3.427,165.2,56.1,582.0,4.01,0
83.4,0.21,168.5,88.9,829.0,5.68,1
57.2,4.438,176.8,62.5,1296.0,81.42,0
114.5,4.483,189.5,63.1,1897.0,79.81,0
86.9,0.572,132.7,84.5,1418.0,83.08,0
149.0,3.398,131.6,38.1,2396.0,28.37,1
60.9,3.341,82.8,45.4,1768.0,49.15,0
74.6,2.49,192.5,66.5,1094.0,31.97,0
90.3,0.125,95.7,29.9,1542.0,58.73,0
129.7,0.571,134.1,76.7,1142.0,84.53,0
127.7,3.296,152.0,61.4,188.0,1.99,0
74.4,2.648,199.2,72.8,915.0,56.98,0
86.1,0.231,127.9,89.3,1408.0,20.11,0
55.9,2.588,160.2,88.4,840.0,87.0,0
87.8,4.246,194.3,51.3,2187.0,95.7,0
66.8,4.452,148.6,39.7,2600.0,82.81,0
142.0,3.485,144.1,64.4,961.0,3.37,0
130.8,3.313,148.8,69.8,170.0,30.28,0
66.5,3.846,178.1,40.6,2639.0,22.97,0
99.1,0.667,85.1,39.7,1774.0,82.63,0
145.8,0.951,171.2,35.0,117.0,1.81,0
91.1,2.429,100.7,83.7,1550.0,92.28,0
94.8,2.255,172.1,27.1,381.0,58.75,0
84.2,0.922,176.0,37.2,2054.0,74.41,0
99.2,3.391,155.1,63.7,1648.0,45.57,0
109.7,3.705,132.7,52.7,2748.0,70.71,0
59.0,1.354,167.9,28.4,1246.0,33.45,0
59.3,1.565,82.3,40.3,2779.0,66.02,0
126.9,1.287,157.8,48.6,2526.0,43.08,0
148.3,1.393,107.9,87.1,2282.0,93.19,1
99.1,1.823,159.3,47.7,1370.0,93.05,0
136.1,2.205,96.5,28.1,1301.0,57.03,0
136.9,2.421,101.5,88.1,1245.0,77.33,0
87.0,2.425,134.2,50.4,250.0,74.23,1
82.9,3.086,143.6,29.8,1858.0,70.64,0
123.0,1.721,130.0,62.8,2414.0,97.41,0
141.1,2.517,153.3,76.6,2258.0,87.78,0
135.4,2.53,86.4,69.7,1790.0,74.53,0
81.9,0.483,103.2,41.8,1136.0,7.9,0
85.5,3.147,80.4,36.7,2115.0,35.5,0
123.6,1.391,147.9,81.8,1634.0,34.33,0
81.7,0.235,162.9,33.6,2535.0,51.22,0
135.2,3.236,138.0,73.0,893.0,85.68,0
100.9,0.242,135.3,21.6,396.0,67.19,1
79.3,2.209,131.1,49.4,109.0,77.15,0
78.6,3.106,120.3,88.9,2255.0,4.17,0
128.4,4.993,150.6,64.4,1838.0,5.36,0
62.5,2.576,80.7,41.7,274.0,92.85,0
