date_time,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
2020-01-01 00:00:00,27.1,2.75,0.5,67,Mist,5344
2020-01-01 01:00:00,37.0,1.97,0.22,37,Mist,4706
2020-01-01 02:00:00,12.8,4.94,0.28,55,Mist,5356
2020-01-01 03:00:00,-7.2,1.98,0.31,13,Snow,5077
2020-01-01 04:00:00,17.9,9.42,0.94,79,Mist,4070
2020-01-01 05:00:00,-8.2,4.42,0.33,53,Rain,5349
2020-01-01 06:00:00,3.4,0.06,0.07,31,Rain,6685
2020-01-01 07:00:00,22.0,4.4,0.97,30,Clouds,377
2020-01-01 08:00:00,2.9,0.66,0.14,68,Clear,4705
2020-01-01 09:00:00,9.1,6.48,0.79,16,Snow,3384
2020-01-01 10:00:00,12.7,7.08,0.39,3,Clear,4680
2020-01-01 11:00:00,0.4,4.05,0.38,87,Snow,4475
2020-01-01 12:00:00,-15.4,0.52,0.28,5,Rain,3993
2020-01-01 13:00:00,10.7,5.63,0.02,63,Rain,6980
2020-01-01 14:00:00,9.3,2.04,0.15,29,Snow,1012
2020-01-01 15:00:00,5.6,1.45,0.14,74,Clouds,3869
2020-01-01 16:00:00,-8.9,5.26,0.91,90,Mist,6429
2020-01-01 17:00:00,-16.9,0.36,0.57,8,Mist,3504
2020-01-01 18:00:00,29.6,9.31,0.73,23,Clear,5282
2020-01-01 19:00:00,11.9,9.24,0.4,19,Rain,290
2020-01-01 20:00:00,38.8,5.61,0.15,12,Mist,1487
2020-01-01 21:00:00,38.7,0.29,0.7,54,Rain,1494
2020-01-01 22:00:00,14.8,4.33,0.07,91,Rain,6031
2020-01-01 23:00:00,9.4,5.26,0.71,94,Rain,3595
2020-01-02 00:00:00,-8.8,3.8,0.17,95,Mist,3246
2020-01-02 01:00:00,2.8,1.89,0.13,98,Mist,6949
2020-01-02 02:00:00,27.1,5.47,0.48,18,Mist,4424
2020-01-02 03:00:00,37.8,2.27,0.04,46,Snow,447
2020-01-02 04:00:00,16.0,0.08,0.11,70,Mist,3801
2020-01-02 05:00:00,17.0,4.91,0.13,66,Rain,4658
2020-01-02 06:00:00,36.5,9.65,0.31,39,Rain,1275
2020-01-02 07:00:00,-12.4,4.47,0.51,93,Clear,939
2020-01-02 08:00:00,16.7,2.25,0.28,57,Clouds,4905
2020-01-02 09:00:00,15.1,10.81,0.32,30,Snow,3139
2020-01-02 10:00:00,-7.7,6.49,0.12,44,Clear,534
2020-01-02 11:00:00,26.4,10.4,0.04,53,Snow,6363
2020-01-02 12:00:00,-12.8,1.14,0.37,72,Snow,6497
2020-01-02 13:00:00,-16.2,2.15,0.28,97,Rain,5424
2020-01-02 14:00:00,9.2,5.57,0.22,85,Rain,1087
2020-01-02 15:00:00,-2.0,6.25,0.33,26,Rain,6605
2020-01-02 16:00:00,6.2,2.46,0.19,51,Rain,6119
2020-01-02 17:00:00,-13.2,0.23,0.83,54,Clear,2013
2020-01-02 18:00:00,7.1,0.08,0.27,26,Clouds,3425
2020-01-02 19:00:00,6.4,1.23,0.1,96,Clouds,5890
2020-01-02 20:00:00,38.0,2.82,0.49,44,Clear,3108
2020-01-02 21:00:00,23.4,2.27,0.5,42,Clouds,385
2020-01-02 22:00:00,35.2,7.82,0.72,41,Mist,4139
2020-01-02 23:00:00,26.9,7.22,0.67,5,Mist,1675
2020-01-03 00:00:00,27.3,2.9,0.11,47,Mist,5457
2020-01-03 01:00:00,31.9,0.83,0.22,57,Rain,728
2020-01-03 02:00:00,-4.6,1.79,0.04,26,Mist,3697
2020-01-03 03:00:00,5.6,0.12,0.29,31,Snow,4751
2020-01-03 04:00:00,32.5,1.43,0.64,37,Snow,4927
2020-01-03 05:00:00,-16.0,18.17,0.16,85,Clear,4869
2020-01-03 06:00:00,-16.7,8.94,0.05,52,Snow,266
2020-01-03 07:00:00,18.9,4.54,0.16,76,Clear,2791
2020-01-03 08:00:00,34.6,6.2,0.09,95,Clouds,5435
2020-01-03 09:00:00,27.7,1.51,0.51,26,Snow,1534
2020-01-03 10:00:00,27.9,1.94,1.12,39,Snow,4493
2020-01-03 11:00:00,1.6,6.97,0.36,93,Clear,3310
2020-01-03 12:00:00,15.5,0.25,0.94,34,Snow,3033
2020-01-03 13:00:00,26.3,6.43,0.17,76,Clear,5050
2020-01-03 14:00:00,27.6,5.59,0.03,61,Snow,5837
2020-01-03 15:00:00,14.8,0.62,0.52,0,Rain,5342
2020-01-03 16:00:00,28.0,3.44,0.16,26,Clouds,3477
2020-01-03 17:00:00,-18.4,0.69,0.1,21,Snow,664
2020-01-03 18:00:00,36.6,3.32,0.0,47,Clouds,1767
2020-01-03 19:00:00,32.2,0.38,0.08,23,Snow,5878
2020-01-03 20:00:00,-16.9,3.96,0.03,22,Snow,1450
2020-01-03 21:00:00,5.2,1.72,1.25,52,Rain,5252
2020-01-03 22:00:00,35.2,8.15,0.2,34,Mist,689
2020-01-03 23:00:00,10.8,1.9,0.38,72,Mist,3040
2020-01-04 00:00:00,-14.5,3.46,0.01,26,Clouds,2992
2020-01-04 01:00:00,38.0,2.87,0.87,6,Clouds,553
2020-01-04 02:00:00,1.5,13.01,0.77,23,Rain,3806
2020-01-04 03:00:00,11.0,1.09,0.64,79,Clear,6838
2020-01-04 04:00:00,17.9,2.11,0.46,22,Clouds,3692
2020-01-04 05:00:00,29.9,14.33,1.56,6,Mist,2337
2020-01-04 06:00:00,32.4,0.82,0.5,55,Rain,1094
2020-01-04 07:00:00,19.2,7.36,0.04,21,Clear,6228
2020-01-04 08:00:00,36.9,8.45,0.35,92,Rain,982
2020-01-04 09:00:00,-6.9,1.14,0.03,19,Mist,659
2020-01-04 10:00:00,34.3,4.29,0.76,5,Rain,5980
2020-01-04 11:00:00,-8.6,4.1,0.71,30,Snow,4541
2020-01-04 12:00:00,33.7,8.23,0.31,90,Mist,679
2020-01-04 13:00:00,-7.0,12.06,0.2,72,Clear,959
2020-01-04 14:00:00,23.2,1.64,0.31,61,Rain,1534
2020-01-04 15:00:00,29.0,6.44,0.34,88,Mist,3030
2020-01-04 16:00:00,3.4,4.2,0.04,41,Mist,5391
2020-01-04 17:00:00,-13.2,4.16,0.32,96,Clear,2474
2020-01-04 18:00:00,1.8,1.89,0.57,12,Mist,1436
2020-01-04 19:00:00,-16.3,6.02,0.54,26,Clear,5612
2020-01-04 20:00:00,19.6,0.16,0.25,82,Mist,4549
2020-01-04 21:00:00,21.8,3.28,0.53,79,Rain,1114
2020-01-04 22:00:00,-3.9,6.35,0.31,46,Clear,6507
2020-01-04 23:00:00,19.1,0.39,1.02,56,Clear,795
2020-01-05 00:00:00,-16.5,0.46,0.08,77,Mist,4717
2020-01-05 01:00:00,-18.1,5.13,0.15,3,Snow,6948
2020-01-05 02:00:00,4.5,3.58,0.18,21,Clear,3115
2020-01-05 03:00:00,9.1,6.81,0.13,53,Snow,4451
2020-01-05 04:00:00,-18.9,4.68,0.25,0,Clouds,5264
2020-01-05 05:00:00,15.4,8.78,0.27,50,Rain,3850
2020-01-05 06:00:00,30.0,2.88,0.46,84,Snow,3914
2020-01-05 07:00:00,4.6,1.68,0.34,62,Rain,4980
2020-01-05 08:00:00,24.8,0.7,0.1,29,Clear,4277
2020-01-05 09:00:00,-10.9,8.3,0.3,90,Rain,1349
2020-01-05 10:00:00,11.8,4.91,0.36,33,Snow,1094
2020-01-05 11:00:00,27.3,5.55,1.02,28,Clear,6371
2020-01-05 12:00:00,20.9,3.34,0.56,67,Snow,1446
2020-01-05 13:00:00,26.8,4.88,0.11,70,Clear,943
2020-01-05 14:00:00,23.3,0.94,0.27,96,Snow,775
2020-01-05 15:00:00,-12.7,0.9,0.65,56,Clear,5228
2020-01-05 16:00:00,-13.8,2.23,0.65,75,Snow,262
2020-01-05 17:00:00,38.5,1.39,0.33,32,Clouds,5158
2020-01-05 18:00:00,8.9,2.03,0.17,87,Snow,6972
