product_id,price,weight,category,rating,label
1,376.36,25.61,clothing,4.3,standard
2,424.21,40.17,clothing,2.1,standard
3,204.84,1.84,clothing,2.8,standard
4,38.79,47.55,clothing,4.4,standard
5,461.21,36.81,clothing,1.4,premium
6,465.68,23.54,toys,1.4,standard
7,9.37,45.25,toys,1.6,premium
8,204.62,12.65,food,4.0,budget
9,108.37,46.66,clothing,3.9,premium
10,310.23,9.98,food,1.1,premium
11,208.61,10.26,food,3.3,premium
12,118.97,33.63,clothing,1.9,standard
13,160.27,47.7,clothing,2.3,budget
14,300.38,8.84,electronics,5.0,premium
15,14.51,4.06,toys,2.6,standard
16,268.9,10.96,toys,2.4,standard
17,159.75,7.31,clothing,4.1,budget
18,267.2,26.98,clothing,3.6,premium
19,85.62,3.68,electronics,4.3,standard
20,157.47,49.77,food,2.1,premium
21,440.08,7.34,electronics,1.6,budget
22,456.48,36.65,clothing,2.1,standard
23,38.97,42.7,electronics,2.5,standard
24,101.37,36.19,electronics,2.0,budget
25,268.67,14.58,electronics,3.6,standard
26,310.4,2.36,clothing,2.4,premium
27,207.46,9.82,food,4.8,budget
28,491.86,43.85,electronics,3.1,budget
29,369.63,46.97,electronics,1.9,premium
30,475.64,46.38,clothing,3.7,budget
31,365.5,4.13,electronics,2.7,standard
32,109.49,48.56,clothing,1.0,budget
33,207.47,36.22,toys,3.0,budget
34,27.66,26.58,electronics,2.5,standard
35,409.84,46.18,toys,3.1,premium
36,196.9,43.83,food,2.4,premium
37,440.99,30.26,electronics,1.5,premium
38,327.07,43.92,toys,3.7,premium
39,262.25,49.67,toys,2.8,premium
40,390.49,5.71,food,1.3,premium
41,163.92,13.68,electronics,4.9,standard
42,283.21,36.49,food,3.8,premium
43,105.56,27.6,food,1.7,budget
44,205.76,45.45,electronics,4.3,budget
45,203.14,35.86,electronics,2.3,budget
46,475.46,0.32,food,3.4,budget
47,376.84,37.4,toys,1.6,standard
48,249.15,45.68,electronics,1.9,standard
49,28.3,4.62,food,4.7,premium
50,499.71,47.77,toys,4.7,budget
51,480.44,31.06,toys,3.6,premium
52,351.28,21.03,toys,1.4,premium
53,121.38,17.03,electronics,4.6,premium
54,106.41,15.37,toys,2.5,standard
55,16.04,29.87,food,3.3,budget
56,71.32,46.43,electronics,3.4,standard
57,387.19,35.19,clothing,1.7,budget
58,359.5,8.09,food,2.1,budget
59,209.66,28.09,electronics,3.2,premium
60,200.26,11.59,electronics,1.1,standard
61,412.85,29.86,food,2.1,premium
62,482.01,4.4,clothing,2.2,budget
63,342.68,14.99,food,2.8,standard
64,344.66,10.02,clothing,4.9,standard
65,257.93,17.32,toys,4.5,premium
66,155.82,46.8,electronics,1.8,standard
67,259.79,31.12,clothing,3.8,budget
68,168.19,37.91,clothing,2.2,premium
69,225.93,47.02,toys,4.6,premium
70,14.84,42.63,clothing,2.3,premium
71,495.68,43.59,clothing,4.2,budget
72,393.13,12.28,toys,3.5,standard
73,53.52,47.64,electronics,4.1,budget
74,491.36,44.55,clothing,2.7,standard
75,385.97,30.52,food,1.5,budget
76,498.97,31.4,toys,3.5,premium
77,229.08,20.31,clothing,1.8,standard
78,483.43,22.42,toys,3.9,premium
79,271.4,4.21,food,3.0,standard
80,124.66,14.12,electronics,1.1,premium
81,166.0,25.05,food,1.7,budget
82,213.24,36.42,electronics,3.1,premium
83,202.23,14.11,food,1.7,budget
84,379.43,20.57,toys,1.1,standard
85,109.16,14.66,food,4.2,standard
86,424.15,10.46,clothing,3.2,standard
87,320.73,4.92,food,4.0,budget
88,325.28,44.49,electronics,3.8,standard
89,248.64,38.4,toys,2.3,standard
90,479.74,23.69,food,1.3,standard
91,43.41,9.47,food,2.2,premium
92,458.11,33.83,food,3.6,premium
93,12.5,18.92,clothing,5.0,premium
94,402.47,38.72,electronics,4.5,budget
95,448.81,25.53,clothing,1.5,standard
96,28.03,46.33,toys,3.8,premium
97,470.86,9.93,electronics,1.6,premium
98,270.37,4.38,electronics,1.7,budget
99,168.01,17.27,toys,4.3,premium
100,302.14,22.09,toys,4.5,standard
101,195.43,37.48,toys,2.8,premium
102,350.12,17.95,food,4.3,premium
103,475.82,3.25,toys,1.2,standard
104,172.58,3.71,electronics,4.9,budget
105,486.87,32.39,toys,2.9,standard
106,355.99,17.99,toys,3.7,premium
107,60.41,38.23,toys,3.8,budget
108,281.4,0.13,toys,4.5,budget
109,458.2,37.03,toys,4.0,premium
110,203.68,5.87,electronics,1.1,budget
111,276.17,19.38,electronics,4.7,premium
112,128.39,16.22,food,2.0,budget
113,323.9,30.55,clothing,1.6,premium
114,246.63,43.91,electronics,3.9,budget
115,412.51,21.37,clothing,1.5,premium
116,253.45,34.51,clothing,2.4,standard
117,94.18,13.56,clothing,5.0,budget
118,348.04,11.31,food,2.7,budget
119,202.04,13.73,electronics,2.2,premium
120,195.7,32.44,food,1.6,standard
121,127.41,24.23,food,5.0,budget
122,309.15,25.57,food,3.3,standard
123,58.89,27.89,food,2.1,premium
124,498.79,31.71,food,1.4,budget
125,395.77,29.31,electronics,4.5,budget
126,414.99,43.69,toys,1.1,premium
127,391.6,29.48,electronics,3.7,standard
128,5.3,19.18,electronics,3.0,standard
129,272.74,42.59,toys,4.0,budget
130,322.36,33.87,electronics,1.9,budget
131,46.62,25.98,electronics,2.6,standard
132,221.18,38.49,toys,2.5,premium
133,279.18,46.77,electronics,1.3,premium
134,62.92,6.69,food,3.6,standard
135,425.28,25.57,toys,4.2,budget
136,445.07,39.61,electronics,3.2,premium
137,95.22,3.78,electronics,1.9,premium
