house_age,distance_to_station,num_stores,latitude,longitude,price_per_unit
10.2,4851.0,0,25.0214,121.5302,104.3
39.6,5432.0,2,25.0537,121.5171,63.9
25.0,5697.0,9,25.0278,121.4677,85.9
36.0,2147.0,1,25.0845,121.4275,93.2
36.1,2555.0,1,24.9947,121.4439,23.3
29.1,5712.0,0,25.0064,121.4115,27.1
8.5,280.0,5,24.9076,121.5529,89.7
31.1,3606.0,4,25.08,121.5066,16.0
2.9,6444.0,4,24.9525,121.5571,47.6
9.0,6196.0,8,25.0957,121.458,111.0
28.9,5632.0,5,24.9404,121.5609,73.2
40.9,161.0,8,24.9507,121.4618,110.2
34.7,6215.0,3,24.9969,121.4243,44.0
15.0,6383.0,6,25.0321,121.5068,80.0
37.1,4649.0,3,24.9881,121.5891,41.5
43.5,2099.0,0,24.9704,121.4829,22.2
14.9,3435.0,3,25.008,121.5031,119.0
8.4,5341.0,1,25.0917,121.4903,29.4
8.9,5693.0,4,25.0924,121.4915,30.7
18.0,2410.0,1,24.9656,121.4429,102.6
2.4,2289.0,1,25.036,121.4845,98.2
21.9,5156.0,3,25.0444,121.4994,117.6
33.0,4808.0,6,25.0307,121.549,17.9
23.9,3597.0,2,24.9226,121.428,20.4
43.7,2948.0,6,25.0079,121.5143,59.4
20.8,4604.0,8,25.0527,121.5324,75.1
0.6,237.0,2,24.9402,121.4766,14.2
21.2,539.0,3,24.9696,121.5098,27.4
41.8,4016.0,0,24.9408,121.5421,87.4
4.3,1480.0,6,25.0774,121.493,83.5
10.0,5426.0,0,25.0717,121.4667,19.9
32.2,5409.0,2,24.9338,121.5649,112.5
13.2,4973.0,8,25.0521,121.5978,38.0
34.4,6326.0,4,24.9728,121.4433,107.6
18.9,994.0,9,25.0372,121.5779,111.5
35.8,1822.0,9,24.9987,121.5091,63.9
24.8,1774.0,1,24.9944,121.4896,55.3
3.7,5479.0,8,25.0763,121.5786,40.6
17.4,3654.0,5,25.0274,121.5821,98.8
15.0,1776.0,8,24.9472,121.4545,31.6
36.5,964.0,3,24.9222,121.4717,78.4
28.1,6252.0,5,25.0867,121.5704,72.4
35.0,4848.0,6,24.9307,121.4982,37.4
16.7,3704.0,5,25.0468,121.4576,118.1
31.1,6759.0,3,24.9992,121.5924,103.1
2.9,5949.0,7,24.928,121.4434,12.3
1.7,1255.0,5,25.0553,121.5221,56.4
12.9,3562.0,1,25.0809,121.4856,49.5
34.8,3408.0,5,24.9243,121.4903,107.1
24.0,5912.0,0,24.9134,121.4212,39.1
18.4,1052.0,8,25.07,121.4514,119.8
40.3,3168.0,9,25.0002,121.4334,32.0
22.4,4459.0,6,25.0349,121.5499,36.8
27.6,6617.0,7,24.9883,121.5395,83.3
44.4,6296.0,3,24.9825,121.5588,27.7
23.5,3742.0,7,24.9599,121.5399,107.8
35.3,4251.0,0,25.0126,121.4257,22.1
18.6,5968.0,3,24.932,121.5957,118.2
1.6,5213.0,5,25.0434,121.4377,106.2
37.6,6157.0,9,25.0099,121.4701,102.4
42.5,6273.0,6,25.0695,121.5414,54.8
19.5,5830.0,2,25.0842,121.4281,66.5
22.7,76.0,9,25.0801,121.4341,60.2
19.1,2183.0,9,25.0202,121.5753,118.6
44.9,2831.0,1,24.9637,121.4664,13.8
40.7,4749.0,8,24.9714,121.5331,52.0
1.8,2155.0,0,25.0305,121.5717,116.5
35.1,2272.0,9,25.0424,121.5946,50.6
27.0,2807.0,0,24.9323,121.4421,53.8
1.1,6688.0,9,25.0996,121.4246,79.4
20.0,3066.0,1,24.9215,121.5481,109.8
6.7,993.0,4,25.0214,121.4376,42.4
39.3,54.0,0,25.0062,121.516,114.2
0.6,1664.0,5,25.0182,121.5065,41.1
39.3,6572.0,7,25.0068,121.512,99.7
42.3,6685.0,9,24.9116,121.53,40.3
3.3,3708.0,1,25.0992,121.5702,18.0
32.4,4528.0,4,25.0963,121.4544,99.4
24.7,5573.0,2,25.0049,121.511,59.5
42.9,401.0,1,24.9417,121.4673,53.0
35.9,2626.0,5,24.9366,121.4637,57.3
31.2,4499.0,0,24.9114,121.4041,77.3
41.6,6289.0,7,25.0224,121.5199,38.9
7.2,5091.0,5,24.9956,121.5945,36.1
16.9,2457.0,3,24.9833,121.5523,63.2
37.9,6371.0,4,25.005,121.4486,13.9
4.6,4656.0,1,25.0746,121.5432,80.7
42.1,5813.0,7,24.9141,121.4595,100.5
33.5,2705.0,5,25.0088,121.5507,90.0
19.8,25.0,5,25.0402,121.571,61.6
15.2,1172.0,2,25.0941,121.4669,72.2
6.6,6491.0,0,25.0479,121.4004,12.9
4.2,242.0,7,25.0096,121.461,110.4
19.1,4176.0,6,25.0534,121.4412,71.4
37.9,2870.0,0,25.0994,121.5237,44.8
23.9,3013.0,7,25.0777,121.458,42.3
20.3,2812.0,9,24.9178,121.4072,82.6
14.4,481.0,1,25.015,121.5063,74.3
7.1,865.0,7,25.0573,121.5749,30.7
44.6,450.0,4,25.0344,121.4903,55.1
1.2,387.0,7,24.9834,121.4753,84.4
14.0,608.0,5,24.9645,121.4357,42.7
34.6,4879.0,1,25.0254,121.4775,66.0
23.4,808.0,6,24.9825,121.4662,38.0
14.1,1838.0,5,24.9784,121.599,17.9
44.7,4602.0,3,25.0673,121.4061,52.7
27.9,795.0,8,24.9631,121.4478,90.5
13.3,6373.0,3,25.029,121.4137,33.5
38.2,3348.0,0,25.0747,121.5715,93.0
6.8,6742.0,2,25.0244,121.4835,83.6
20.9,1356.0,7,24.9986,121.5593,65.8
37.8,224.0,2,24.9071,121.5384,116.9
44.3,4136.0,6,25.0363,121.5856,107.2
17.2,2308.0,0,25.0995,121.4048,71.9
6.2,4011.0,3,25.0617,121.4415,71.4
25.5,3321.0,3,25.0269,121.5404,40.6
42.5,3206.0,8,24.9938,121.517,111.2
30.0,5960.0,0,24.9449,121.5389,108.6
27.1,1351.0,8,25.0384,121.5151,91.6
13.9,3502.0,9,24.9355,121.5162,24.1
27.3,2918.0,7,25.0774,121.5865,87.4
39.8,4720.0,9,24.9708,121.5843,37.8
16.9,360.0,5,24.98,121.4076,30.8
10.9,3711.0,3,24.9432,121.4827,93.5
21.6,3355.0,5,24.9963,121.5021,115.6
16.9,6815.0,5,25.0361,121.4716,22.0
21.1,5293.0,1,24.9606,121.4099,28.0
4.3,1093.0,6,25.0404,121.4945,34.1
15.1,3569.0,8,25.0241,121.5951,115.9
37.2,5488.0,7,24.9745,121.4144,86.6
18.0,3677.0,2,24.9626,121.5633,84.6
43.6,2503.0,7,25.0723,121.4391,65.6
31.9,2643.0,3,24.9024,121.5154,69.1
16.5,2575.0,9,25.0432,121.4774,41.9
11.3,149.0,0,24.9835,121.4698,27.0
30.8,5117.0,2,25.0435,121.5741,95.8
13.6,4280.0,0,25.0015,121.5947,61.8
41.7,1888.0,4,24.9168,121.4773,38.2
5.2,4414.0,9,25.0964,121.5281,79.6
1.3,2168.0,8,24.9172,121.5113,33.0
9.9,1711.0,6,24.9317,121.4154,63.8
27.3,5191.0,2,24.9841,121.4082,30.9
37.6,5666.0,6,25.0889,121.5547,93.6
7.7,4384.0,7,24.9586,121.4789,45.3
26.3,5491.0,3,25.0137,121.4615,58.6
6.5,2566.0,2,25.0043,121.5971,93.0
25.3,512.0,1,24.966,121.417,82.6
0.8,4238.0,7,25.0393,121.4538,54.0
25.1,1799.0,2,25.0003,121.5714,17.8
23.5,5445.0,6,25.0157,121.483,111.4
1.9,2513.0,1,24.942,121.5168,10.9
31.0,4698.0,4,25.0853,121.4097,90.8
25.8,3875.0,4,24.9221,121.5841,114.0
28.0,5724.0,8,25.0381,121.4274,43.7
23.8,5828.0,7,25.0772,121.4427,18.3
32.5,487.0,7,24.9168,121.4314,37.4
23.6,2073.0,9,24.9058,121.4995,44.5
41.5,6097.0,1,24.9666,121.5634,59.6
42.5,2834.0,1,25.058,121.4534,67.8
32.7,3609.0,9,25.0435,121.4285,89.8
41.0,1292.0,6,25.0644,121.482,109.1
41.5,3873.0,3,24.9795,121.5963,61.1
11.8,1860.0,2,25.0988,121.4022,92.1
44.7,5806.0,2,24.9732,121.5008,24.0
12.0,1410.0,6,25.0611,121.5339,46.2
0.8,2525.0,0,24.9702,121.5613,23.0
43.3,675.0,3,24.9437,121.5492,86.1
10.1,4120.0,5,24.9673,121.4149,109.8
26.3,6594.0,8,24.9385,121.4924,107.8
43.7,1220.0,0,24.9258,121.4157,45.9
2.2,148.0,0,24.9728,121.524,35.8
12.1,2963.0,1,24.9294,121.4154,40.1
27.4,5241.0,6,25.0005,121.4097,41.6
34.3,6826.0,6,24.9071,121.4612,19.0
36.3,368.0,4,24.9863,121.5878,24.7
39.8,5504.0,3,25.0916,121.542,33.6
7.6,2587.0,9,24.9718,121.4008,10.9
16.7,1085.0,5,24.9275,121.4569,15.2
32.1,1354.0,7,24.961,121.4035,86.8
32.2,6468.0,6,25.0583,121.4589,78.1
