pH,nitrogen,phosphorus,potassium,organic_matter,moisture,soil_type
5.1,109.4,12.1,272.4,3.84,73.4,clay
9.0,25.8,92.2,235.8,5.72,9.2,loamy
6.0,80.1,82.8,202.2,10.0,19.0,peaty
4.4,70.4,38.6,86.3,1.27,5.2,sandy
8.2,151.3,34.8,164.1,7.93,13.2,loamy
5.4,128.2,43.2,71.1,9.99,51.3,peaty
4.5,187.4,40.1,33.5,8.05,8.4,loamy
3.2,184.4,25.8,36.1,7.67,36.9,peaty
9.8,145.0,99.1,181.1,2.59,42.8,loamy
6.3,154.1,81.1,11.5,0.03,73.0,sandy
4.1,125.0,26.8,292.0,2.26,40.6,silty
8.3,138.3,98.2,298.6,7.9,15.7,silty
9.2,123.4,1.6,44.8,1.07,26.7,sandy
6.7,62.4,43.8,128.2,2.96,55.4,loamy
3.2,70.1,56.9,230.4,5.63,13.4,peaty
5.6,114.9,3.8,286.5,5.8,22.4,clay
4.7,144.0,16.1,267.4,5.43,79.7,loamy
7.5,81.2,25.8,76.4,9.81,5.4,sandy
6.6,28.5,72.0,25.6,0.12,16.4,silty
5.5,91.9,94.0,86.6,4.88,68.3,silty
7.5,192.6,62.5,131.2,5.04,12.6,loamy
7.1,42.8,56.3,108.0,2.93,7.5,peaty
9.3,129.8,53.7,232.2,5.25,14.1,sandy
7.2,196.5,35.1,77.3,6.73,57.0,sandy
6.6,75.2,82.8,257.6,6.73,79.5,peaty
8.8,177.6,54.1,67.7,0.88,49.3,peaty
4.4,172.8,23.0,108.4,8.02,14.3,loamy
4.7,67.8,13.7,134.3,9.31,18.8,loamy
8.5,19.7,98.6,87.4,1.24,45.3,silty
6.1,35.7,1.7,229.9,4.17,58.7,silty
5.9,73.1,93.3,122.9,5.12,54.7,peaty
9.2,191.8,21.8,266.1,1.35,48.1,clay
7.3,54.9,65.8,289.1,5.03,79.0,clay
8.6,185.4,30.2,257.9,2.07,19.9,clay
8.7,36.3,86.0,156.8,9.35,18.0,sandy
3.8,194.0,54.3,152.9,4.48,69.4,loamy
7.6,58.7,14.1,64.8,9.95,26.8,peaty
9.7,126.6,27.0,177.7,0.47,29.9,silty
6.4,13.9,32.0,285.8,1.28,46.2,clay
8.1,59.9,88.6,24.2,4.43,33.6,silty
7.0,42.1,76.7,225.7,8.74,26.6,loamy
4.4,0.7,83.0,260.9,5.55,73.8,peaty
4.4,31.4,5.2,296.0,7.32,14.7,clay
6.0,118.6,57.9,100.4,4.24,35.3,clay
6.4,78.0,99.9,106.7,0.41,5.2,peaty
6.5,144.5,78.5,68.9,6.48,65.6,silty
9.7,134.2,12.1,236.7,6.34,17.6,loamy
3.7,159.9,67.9,42.0,0.71,63.0,loamy
5.7,173.4,74.5,80.3,1.71,16.1,loamy
6.6,164.0,51.4,88.6,4.76,36.3,silty
9.7,89.6,7.9,112.5,4.47,59.6,silty
6.5,61.7,3.5,126.5,7.52,25.3,clay
8.4,100.5,93.8,167.7,3.87,28.5,silty
8.2,107.0,25.8,284.5,6.63,55.0,sandy
7.0,62.6,37.9,74.2,7.04,19.1,peaty
3.9,108.0,79.5,233.8,6.45,76.4,silty
4.5,21.2,68.9,202.9,5.96,19.2,loamy
4.7,46.2,96.9,34.8,8.06,61.2,silty
3.3,149.2,9.3,243.1,6.57,65.2,clay
5.7,36.6,70.7,27.2,8.34,33.1,peaty
7.3,27.8,8.2,221.7,6.37,16.7,peaty
4.0,57.5,0.0,214.7,1.59,17.4,loamy
4.2,74.2,12.0,206.8,3.09,78.9,peaty
7.9,65.7,61.7,83.0,3.3,59.4,sandy
4.2,74.9,67.6,172.0,0.94,38.8,peaty
3.9,28.0,43.8,228.5,6.92,24.3,loamy
9.8,33.1,4.6,191.3,5.95,6.4,peaty
3.1,47.2,63.4,241.3,5.9,55.3,silty
5.3,80.4,8.6,206.4,4.79,76.8,clay
3.2,67.2,14.2,82.3,5.43,13.0,silty
8.9,158.3,51.3,45.9,0.08,61.6,sandy
7.1,105.1,34.0,189.6,0.96,16.5,sandy
3.3,115.1,46.5,227.9,6.83,64.4,clay
7.3,112.1,63.5,42.7,2.61,32.8,clay
3.9,79.8,16.0,52.4,1.08,58.4,clay
6.5,196.1,89.3,3.6,3.29,74.5,clay
7.7,7.5,55.9,159.5,2.54,51.5,peaty
4.0,43.2,2.2,162.7,0.29,74.1,silty
6.5,56.9,62.8,150.0,4.11,22.6,sandy
6.2,176.3,46.3,94.8,0.27,78.4,peaty
9.4,183.8,70.2,128.3,0.0,70.5,clay
10.0,169.2,78.4,229.9,7.92,13.1,loamy
7.6,83.4,93.9,54.5,3.15,36.0,loamy
9.0,182.9,99.8,60.5,5.68,74.5,silty
7.5,19.7,55.0,200.1,2.98,10.9,sandy
9.1,130.5,56.2,260.1,9.3,39.0,sandy
6.0,187.4,2.2,102.1,7.29,59.3,silty
7.3,151.0,86.5,279.8,3.69,7.5,clay
8.9,55.6,2.9,17.3,2.11,61.5,clay
9.4,143.5,63.3,35.6,1.38,32.1,sandy
3.2,59.0,9.9,138.0,7.62,23.7,sandy
3.7,22.3,28.6,217.0,4.53,48.2,sandy
9.5,143.4,14.0,111.3,2.32,45.8,clay
7.0,35.8,13.7,166.4,9.2,70.5,loamy
9.9,22.2,7.5,8.6,3.9,55.7,silty
8.5,110.4,31.8,138.6,5.43,36.6,silty
8.7,124.1,42.4,72.8,8.58,53.8,peaty
5.7,10.2,46.4,154.9,8.33,61.3,peaty
4.8,0.9,44.0,157.7,6.38,75.3,loamy
7.2,176.4,52.4,225.9,8.89,57.8,sandy
9.2,23.1,86.0,162.0,9.52,45.8,loamy
