danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.171,0.526,-57.5,0.458,0.889,0.475,0.003,0.944,101.4,rock
0.945,0.067,-49.4,0.403,0.836,0.366,0.289,0.16,51.9,electronic
0.733,0.971,-19.2,0.261,0.941,0.356,0.745,0.255,81.2,jazz
0.881,0.303,-55.1,0.818,0.21,0.86,0.845,0.699,78.0,hip-hop
0.034,0.054,-0.3,0.907,0.341,0.078,0.585,0.691,138.3,classical
0.321,0.255,-31.7,0.775,0.112,0.926,0.46,0.597,188.1,rock
0.029,0.4,-18.8,0.701,0.64,0.236,0.015,0.242,97.4,pop
0.182,0.232,-57.1,0.589,0.781,0.488,0.348,0.067,169.0,pop
0.884,0.155,-34.2,0.336,0.618,0.957,0.084,0.222,99.5,hip-hop
0.411,0.507,-45.6,0.918,0.596,0.639,0.219,0.639,194.6,hip-hop
0.672,0.796,-53.7,0.649,0.802,0.251,0.069,0.296,79.2,rock
0.484,0.705,-19.6,0.889,0.088,0.982,0.897,0.842,111.0,electronic
0.474,0.425,-1.4,0.453,0.742,0.815,0.708,0.616,72.4,classical
0.65,0.124,-41.7,0.412,0.893,0.314,0.454,0.05,83.9,jazz
0.435,0.955,-4.3,0.077,0.646,0.599,0.931,0.088,65.9,pop
0.021,0.337,-59.8,0.337,0.684,0.556,0.209,0.281,66.4,pop
0.801,0.103,-20.2,0.386,0.643,0.617,0.954,0.574,144.3,hip-hop
0.273,0.336,-28.2,0.494,0.824,0.122,0.074,0.937,167.6,hip-hop
0.671,0.697,-37.9,0.475,0.397,0.645,0.8,0.103,62.2,classical
0.658,0.251,-34.9,0.918,0.858,0.214,0.329,0.831,83.2,rock
0.145,0.183,-24.0,0.507,0.27,0.319,0.132,0.573,98.2,electronic
0.165,0.264,-26.5,0.845,0.115,0.545,0.662,0.364,190.5,pop
0.448,0.552,-29.5,0.128,0.062,0.213,0.635,0.643,139.7,classical
0.342,0.875,-1.0,0.572,0.098,0.892,0.934,0.785,66.1,rock
0.273,0.132,-13.9,0.538,0.456,0.418,0.276,0.359,105.5,pop
0.309,0.144,-49.3,0.156,0.595,0.165,0.766,0.92,157.3,jazz
0.254,0.428,-5.0,0.245,0.636,0.061,0.922,0.551,196.7,classical
0.111,0.125,-30.5,0.5,0.565,0.781,0.456,0.157,160.8,pop
0.088,0.979,-59.2,0.521,0.207,0.828,0.417,0.547,77.2,rock
0.88,0.879,-12.8,0.9,0.866,0.08,0.369,0.765,172.9,pop
0.815,0.065,-38.8,0.164,0.211,0.543,0.984,0.587,50.5,jazz
0.494,0.907,-0.1,0.305,0.826,0.653,0.608,0.584,122.4,hip-hop
0.32,0.284,-27.4,0.24,0.714,0.908,0.922,0.028,101.8,hip-hop
0.687,0.323,-43.8,0.783,0.355,0.048,0.449,0.463,191.9,electronic
0.109,0.338,-14.9,0.216,0.422,0.348,0.882,0.366,56.9,classical
0.102,0.07,-43.3,0.899,0.814,0.119,0.463,0.044,88.3,rock
0.141,0.779,-58.5,0.931,0.985,0.429,0.158,0.681,89.0,jazz
0.692,0.183,-54.2,0.112,0.243,0.372,0.599,0.183,113.5,rock
0.822,0.208,-20.6,0.217,0.689,0.595,0.869,0.35,188.5,classical
0.536,0.769,-47.2,0.384,0.074,0.675,0.034,0.578,147.9,jazz
0.169,0.06,-45.7,0.867,0.081,0.965,0.284,0.44,68.2,pop
0.337,0.336,-51.1,0.122,0.451,0.163,0.946,0.702,173.7,hip-hop
0.823,0.561,-44.6,0.345,0.018,0.799,0.27,0.845,144.5,pop
0.513,0.116,-14.4,0.701,0.91,0.846,0.398,0.169,52.4,electronic
0.451,0.425,-29.2,0.723,0.386,0.565,0.328,0.279,187.8,pop
0.659,0.354,-47.0,0.356,0.381,0.788,0.26,0.186,57.1,rock
0.355,0.322,-45.1,0.963,0.326,0.35,0.392,0.499,141.5,electronic
0.004,0.27,-37.3,0.352,0.299,0.035,0.852,0.079,140.1,rock
0.941,0.339,-0.2,0.614,0.093,0.151,0.33,0.741,141.3,electronic
0.711,0.392,-49.6,0.615,0.607,0.167,0.703,0.128,177.2,classical
0.958,0.128,-11.8,0.8,0.253,0.875,0.246,0.947,68.5,pop
0.85,0.208,-8.1,0.357,0.347,0.958,0.181,0.84,130.2,pop
0.374,0.91,-2.7,0.41,0.336,0.403,0.807,0.969,136.0,pop
0.379,0.945,-23.7,0.418,0.34,0.656,0.128,0.041,109.7,electronic
0.144,0.993,-54.0,0.059,0.879,0.303,0.773,0.205,129.2,hip-hop
0.807,0.479,-58.6,0.733,0.471,0.446,0.636,0.961,125.1,jazz
0.62,0.136,-33.4,0.769,0.51,0.621,0.536,0.985,163.8,hip-hop
0.256,0.684,-39.0,0.821,0.784,0.856,0.461,0.281,71.9,pop
0.96,0.937,-8.3,0.714,0.308,0.427,0.535,0.599,54.4,classical
0.768,0.031,-24.2,0.593,0.761,0.699,0.125,0.207,189.7,jazz
0.883,0.022,-9.4,0.564,0.18,0.249,0.247,0.895,97.0,electronic
0.174,0.613,-25.8,0.644,0.708,0.329,0.019,0.137,168.8,jazz
0.593,0.039,-46.4,0.008,0.144,0.219,0.699,0.688,98.0,pop
0.991,0.392,-48.0,0.448,0.689,0.865,0.798,0.29,50.6,classical
0.349,0.377,-36.3,0.04,0.469,0.118,0.69,0.374,82.3,hip-hop
0.403,0.099,-58.2,0.488,0.065,0.77,0.709,0.548,65.8,rock
0.537,0.746,-30.2,0.149,0.601,0.632,0.864,0.427,173.4,hip-hop
0.045,0.109,-43.6,0.009,0.691,0.65,0.702,0.523,75.6,jazz
0.226,0.274,-57.3,0.73,0.202,0.877,0.35,0.68,199.1,classical
0.323,0.727,-31.5,0.705,0.935,0.531,0.239,0.296,141.9,pop
0.009,0.618,-21.5,0.387,0.227,0.076,0.41,0.739,98.4,hip-hop
0.316,0.473,-54.0,0.065,0.311,0.931,0.463,0.417,125.7,jazz
0.545,0.049,-23.5,0.975,0.736,0.337,0.273,0.022,194.3,rock
0.019,0.763,-3.4,0.151,0.2,0.03,0.294,0.847,145.4,pop
0.532,0.825,-37.4,0.488,0.921,0.533,0.71,0.282,163.0,pop
0.8,0.102,-1.1,0.272,0.641,0.358,0.207,0.86,124.1,rock
0.146,0.986,-13.1,0.132,0.749,0.912,0.767,0.745,129.9,hip-hop
0.961,0.347,-59.4,0.513,0.119,0.511,0.257,0.407,197.6,electronic
0.415,0.424,-3.3,0.196,0.822,0.053,0.406,0.65,140.7,jazz
0.438,0.414,-29.4,0.361,0.569,0.238,0.276,0.992,131.3,hip-hop
0.515,0.633,-24.0,0.607,0.77,0.223,0.822,0.308,181.0,rock
0.393,0.573,-23.4,0.387,0.072,0.764,0.394,0.45,117.4,classical
0.652,0.561,-36.5,0.519,0.608,0.066,0.979,0.149,121.0,electronic
0.178,0.781,-33.4,0.232,0.69,0.325,0.601,0.871,156.5,classical
0.92,0.928,-28.9,0.696,0.495,0.671,0.017,0.553,74.0,rock
0.868,0.822,-2.1,0.635,0.835,0.613,0.815,0.102,69.5,electronic
0.645,0.721,-46.9,0.693,0.94,0.648,0.689,0.598,142.8,pop
0.789,0.051,-5.1,0.34,0.223,0.559,0.256,0.468,77.5,jazz
0.709,0.248,-1.4,0.94,0.061,0.176,0.269,0.307,115.3,jazz
0.474,0.105,-34.5,0.624,0.773,0.674,0.492,0.019,170.7,pop
0.156,0.855,-45.2,0.127,0.481,0.951,0.666,0.216,96.5,electronic
0.324,0.652,-32.3,0.975,0.058,0.041,0.9,0.206,161.3,electronic
0.884,0.034,-53.9,0.569,0.089,0.362,0.166,0.715,99.2,classical
0.666,0.723,-10.7,0.698,0.228,0.292,0.167,0.259,56.0,pop
0.865,0.337,-41.1,0.372,0.005,0.148,0.697,0.979,63.7,classical
0.878,0.543,-41.7,0.442,0.47,0.264,0.318,0.184,115.1,hip-hop
0.527,0.58,-19.6,0.732,0.37,0.025,0.227,0.893,97.7,rock
0.437,0.162,-26.3,0.865,0.046,0.643,0.687,0.365,120.3,classical
0.429,0.399,-24.9,0.96,0.241,0.612,0.06,0.999,128.5,pop
0.444,0.426,-30.9,0.99,0.74,0.503,0.531,0.804,191.4,rock
0.946,0.615,-33.0,0.595,0.807,0.314,0.641,0.604,120.8,classical
0.15,0.89,-41.1,0.087,0.004,0.976,0.385,0.831,178.6,pop
0.152,0.615,-43.0,0.578,0.106,0.619,0.126,0.897,177.6,hip-hop
0.387,0.684,-0.4,0.204,0.998,0.887,0.343,0.998,183.1,electronic
0.802,0.665,-35.8,0.648,0.649,0.306,0.431,0.17,130.7,pop
0.852,0.084,-29.6,0.336,0.685,0.755,0.161,0.585,92.9,hip-hop
0.825,0.3,-36.2,0.522,0.379,0.006,0.488,0.387,167.9,rock
0.582,0.402,-16.4,0.661,0.504,0.677,0.339,0.385,98.4,hip-hop
0.858,0.444,-49.6,0.908,0.508,0.748,0.9,0.632,184.4,classical
0.193,0.842,-56.9,0.793,0.348,0.27,0.064,0.504,65.7,hip-hop
0.599,0.525,-1.6,0.021,0.69,0.998,0.67,0.811,151.7,pop
0.329,0.816,-27.9,0.153,0.573,0.498,0.722,0.328,122.2,classical
0.273,0.907,-27.0,0.869,0.944,0.369,0.609,0.53,141.1,hip-hop
0.1,0.696,-32.0,0.743,0.007,0.185,0.522,0.966,66.7,pop
0.365,0.113,-57.0,0.148,0.885,0.155,0.115,0.091,195.7,rock
0.035,0.201,-19.4,0.589,0.949,0.207,0.608,0.269,157.2,electronic
0.352,0.828,-26.0,0.588,0.147,0.536,0.567,0.102,92.8,jazz
0.475,0.564,-51.4,0.775,0.222,0.537,0.913,0.063,183.4,electronic
0.358,0.516,-28.6,0.813,0.051,0.53,0.872,0.017,117.9,electronic
0.771,0.969,-46.0,0.674,0.235,0.86,0.021,0.365,77.9,pop
0.281,0.368,-21.6,0.713,0.639,0.002,0.985,0.849,114.6,classical
0.075,0.041,-19.9,0.667,0.217,0.267,0.565,0.242,97.9,electronic
0.199,0.255,-42.2,0.151,0.852,0.886,0.916,0.324,156.3,electronic
0.82,0.285,-54.4,0.685,0.915,0.1,0.149,0.856,53.2,rock
0.636,0.512,-12.1,0.471,0.028,0.195,0.696,0.15,182.0,rock
0.577,0.007,-21.8,0.978,0.507,0.327,0.458,0.237,114.9,rock
0.539,0.988,-23.7,0.709,0.016,0.813,0.134,0.712,66.9,hip-hop
0.749,0.062,-24.1,0.374,0.619,0.584,0.023,0.741,165.2,rock
0.196,0.232,-16.8,0.91,0.347,0.556,0.216,0.359,198.2,electronic
0.21,0.672,-46.3,0.23,0.846,0.925,0.017,0.01,185.4,rock
0.13,0.978,-35.6,0.467,0.917,0.487,0.598,0.382,74.7,jazz
0.339,0.512,-46.7,0.064,0.498,0.947,0.305,0.715,82.5,hip-hop
0.274,0.342,-55.7,0.629,0.953,0.134,0.954,0.715,198.2,pop
0.915,0.162,-5.6,0.559,0.867,0.4,0.633,0.42,80.4,pop
0.012,0.903,-57.2,0.504,0.097,0.822,0.764,0.349,95.3,classical
0.474,0.05,-57.2,0.207,0.356,0.15,0.434,0.702,143.4,rock
0.731,0.07,-40.7,0.494,0.34,0.176,0.267,0.949,93.7,classical
0.907,0.064,-40.9,0.459,0.304,0.382,0.767,0.793,107.2,pop
0.966,0.466,-57.6,0.022,0.797,0.929,0.468,0.229,161.2,rock
0.069,0.931,-14.0,0.162,0.301,0.182,1.0,0.963,139.0,rock
0.195,0.556,-53.0,0.902,0.379,0.956,0.593,0.61,171.5,pop
0.999,0.355,-54.7,0.789,0.086,0.672,0.845,0.112,166.3,rock
0.313,0.239,-54.8,0.12,0.52,0.471,0.288,0.337,169.9,hip-hop
0.056,0.514,-21.3,0.973,0.117,0.018,0.427,0.724,76.7,rock
0.934,0.442,-49.8,0.465,0.869,0.525,0.241,0.87,88.5,rock
0.403,0.093,-25.3,0.75,0.798,0.416,0.775,0.529,77.4,classical
0.291,0.006,-47.9,0.542,0.302,0.791,0.757,0.138,68.4,jazz
0.151,0.595,-9.8,0.764,0.005,0.559,0.593,0.124,177.5,pop
0.425,0.858,-48.8,0.662,0.072,0.974,0.731,0.326,50.6,pop
0.368,0.609,-34.2,0.065,0.218,0.112,0.361,0.038,144.1,electronic
0.924,0.326,-26.9,0.914,0.498,0.915,0.878,0.419,180.9,pop
0.212,0.153,-7.2,0.768,0.731,0.38,0.922,0.777,75.1,classical
0.086,0.739,-47.1,0.222,0.099,0.507,0.664,0.461,189.7,electronic
0.276,0.702,-22.8,0.226,0.708,0.853,0.373,0.83,193.6,rock
0.546,0.847,-58.1,0.687,0.547,0.685,0.842,0.657,137.1,jazz
