vibration,temperature,rpm,noise_level,oil_pressure,fault_type
0.87,77.9,3665.0,89.1,23.1,engine
1.62,73.3,3063.0,68.6,71.1,transmission
3.39,72.9,4143.0,60.1,40.3,engine
3.05,68.9,1560.0,76.9,45.9,transmission
0.38,85.6,4062.0,66.2,75.5,transmission
4.32,75.7,1814.0,72.6,46.4,suspension
1.06,113.6,1007.0,67.0,37.9,brake
2.21,101.3,1107.0,40.7,23.6,transmission
7.87,104.6,1495.0,62.6,46.6,normal
4.95,84.2,3571.0,47.0,59.3,suspension
3.73,96.0,1598.0,64.2,36.2,transmission
1.85,90.0,3217.0,37.5,63.1,suspension
8.66,70.0,1654.0,43.9,48.7,normal
9.04,62.9,2144.0,78.5,71.5,suspension
5.19,101.0,4504.0,54.3,29.7,suspension
9.21,67.3,2752.0,70.4,65.4,transmission
4.65,63.4,3201.0,59.9,76.0,engine
1.07,86.5,1352.0,50.4,64.5,suspension
0.17,104.3,1092.0,59.7,44.4,transmission
1.28,106.1,2359.0,78.8,33.8,normal
6.23,112.4,4349.0,46.9,25.9,normal
3.21,72.0,1584.0,55.3,58.5,engine
6.48,119.1,3298.0,42.2,28.6,normal
5.08,105.8,4424.0,51.1,70.3,transmission
3.33,69.4,4705.0,83.1,77.6,engine
2.19,110.4,4972.0,77.1,28.1,transmission
0.81,89.9,3933.0,52.4,42.6,engine
7.82,64.0,838.0,37.9,76.2,engine
8.19,67.9,4422.0,55.2,48.2,transmission
5.41,86.0,4485.0,76.3,52.1,engine
1.57,91.8,3008.0,32.6,64.9,transmission
2.64,116.8,803.0,74.7,32.6,normal
9.55,72.9,2645.0,70.8,78.7,normal
2.26,88.4,1448.0,33.9,66.9,suspension
0.57,73.6,2489.0,68.1,29.7,brake
5.5,93.5,3759.0,47.9,26.7,brake
2.62,114.6,3504.0,40.6,76.1,normal
9.57,94.1,4010.0,53.1,61.1,suspension
5.75,90.6,2644.0,42.3,22.3,brake
9.66,105.0,2799.0,79.5,28.5,transmission
7.86,68.9,4711.0,74.5,22.9,transmission
7.23,114.3,3340.0,88.8,78.4,engine
8.3,94.7,3864.0,62.0,49.9,brake
6.05,101.2,3490.0,35.4,47.7,transmission
0.11,109.1,3382.0,52.1,77.3,brake
3.92,98.1,4611.0,80.3,50.3,engine
2.19,98.5,2104.0,53.8,51.1,normal
4.34,103.8,2425.0,57.3,79.0,suspension
4.71,63.1,2209.0,54.7,26.7,engine
1.28,82.9,3943.0,44.1,79.1,engine
0.23,117.8,4408.0,34.4,29.9,engine
1.38,75.5,2109.0,40.8,48.4,suspension
8.57,92.5,1141.0,51.8,40.3,transmission
7.56,70.5,2723.0,44.7,77.3,brake
7.99,79.4,4929.0,64.4,49.1,normal
2.76,103.0,1417.0,66.8,21.4,normal
2.36,98.6,2534.0,64.2,33.3,suspension
0.37,84.9,1721.0,35.1,45.8,normal
4.72,116.3,4652.0,70.0,60.6,suspension
3.82,106.5,2979.0,53.1,53.7,suspension
8.36,76.1,3104.0,82.7,71.0,brake
6.82,87.9,537.0,61.5,69.7,brake
1.44,112.7,3438.0,35.1,55.4,suspension
9.87,61.3,1879.0,30.6,54.3,brake
7.71,94.9,2810.0,72.2,36.7,transmission
7.2,73.9,2890.0,54.0,77.5,engine
2.17,63.8,3165.0,47.3,24.6,normal
9.05,114.8,4206.0,56.8,43.8,normal
4.74,109.0,1845.0,34.3,59.7,normal
2.98,71.1,1653.0,53.5,76.7,normal
6.55,110.2,4081.0,48.9,50.1,transmission
2.12,68.8,3734.0,78.0,73.8,transmission
9.08,88.6,1515.0,40.5,26.3,engine
8.54,103.5,504.0,75.4,51.9,suspension
4.65,92.0,3497.0,60.0,39.0,brake
1.91,111.0,1207.0,34.9,67.7,engine
4.97,97.0,4806.0,88.2,46.7,normal
1.49,85.9,3220.0,74.1,48.5,brake
2.7,115.5,4323.0,45.6,23.9,engine
4.83,62.2,4125.0,64.9,46.3,normal
0.21,89.3,3010.0,84.0,24.8,engine
7.66,99.6,2473.0,85.8,38.0,normal
1.97,110.2,2736.0,73.9,27.6,normal
8.67,92.5,4113.0,73.7,40.1,transmission
0.22,113.1,3382.0,46.6,33.6,normal
5.32,85.6,1426.0,89.4,37.1,engine
7.77,79.0,3242.0,44.6,28.9,brake
2.38,118.4,2321.0,35.4,46.4,transmission
7.08,100.0,776.0,88.6,49.9,brake
7.21,85.5,2216.0,39.2,70.2,suspension
6.38,112.7,1524.0,61.3,52.3,brake
3.64,101.0,4274.0,58.1,33.7,suspension
7.85,98.3,972.0,80.9,64.2,suspension
6.28,103.7,2123.0,53.8,37.8,transmission
5.9,104.3,3630.0,60.1,65.4,brake
8.19,89.6,4538.0,32.6,43.2,normal
2.45,85.2,2009.0,42.5,50.8,transmission
2.32,114.6,3229.0,80.0,50.2,transmission
