fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.9,1.468,0.72,6.7,0.353,1.0,98.0,0.9952,3.87,1.2,9.9,7
13.6,0.191,0.28,10.1,0.434,71.0,238.0,0.9902,3.28,1.12,13.1,6
6.8,1.141,0.33,13.9,0.083,65.0,158.0,0.9998,3.42,1.46,12.5,6
6.7,0.374,0.02,5.9,0.364,5.0,249.0,0.9903,3.93,1.76,14.1,4
10.6,0.579,0.76,10.7,0.335,60.0,66.0,0.9988,2.98,1.37,8.6,7
10.3,0.723,0.04,6.0,0.313,34.0,178.0,0.9923,3.38,1.6,14.4,3
7.4,1.462,0.86,10.1,0.417,19.0,30.0,0.9979,3.32,1.6,10.1,3
7.6,0.464,0.12,14.2,0.504,63.0,188.0,0.9971,3.04,0.91,11.4,7
7.3,0.237,0.17,4.2,0.201,15.0,222.0,0.9902,3.76,0.77,11.1,8
13.3,0.578,0.48,6.8,0.535,68.0,172.0,0.9951,3.87,1.66,13.3,4
11.8,0.257,0.74,15.9,0.105,16.0,81.0,0.9984,3.72,0.94,10.9,4
14.0,0.293,0.14,14.0,0.112,45.0,15.0,1.0019,2.95,1.84,14.6,4
15.7,0.961,0.44,9.3,0.167,17.0,40.0,1.0024,2.81,0.42,14.3,3
9.7,0.191,0.48,8.6,0.081,40.0,182.0,0.9968,3.49,0.4,14.1,6
4.8,0.146,0.21,5.0,0.146,50.0,270.0,1.0002,2.77,1.88,8.5,8
4.6,1.172,0.12,8.6,0.073,15.0,64.0,0.9944,3.57,1.4,14.0,4
7.5,0.642,0.84,13.7,0.495,38.0,214.0,0.9948,3.39,0.95,13.5,3
15.2,0.288,0.5,11.2,0.092,34.0,251.0,0.9927,3.56,1.58,8.7,3
10.3,0.48,0.01,5.1,0.451,6.0,153.0,0.9979,3.47,1.44,8.8,6
7.3,1.063,0.8,3.7,0.038,59.0,195.0,0.9944,3.25,1.2,8.7,7
8.8,0.513,0.98,4.7,0.57,25.0,237.0,0.9912,2.96,0.47,8.1,7
11.2,0.842,0.61,3.2,0.43,42.0,80.0,0.9996,3.1,1.68,11.8,4
11.8,0.283,0.5,2.1,0.014,38.0,90.0,0.9999,3.38,1.77,14.8,4
5.8,0.982,0.88,7.1,0.461,37.0,6.0,0.995,3.55,0.59,11.1,8
15.7,0.574,0.95,2.3,0.313,9.0,279.0,0.9911,3.71,1.75,11.8,6
10.5,1.04,0.75,3.2,0.47,31.0,266.0,0.996,3.7,1.79,14.8,4
5.6,1.313,0.45,9.0,0.318,33.0,222.0,0.9962,3.96,1.23,9.8,6
14.7,1.017,0.59,3.1,0.388,53.0,28.0,0.9994,3.07,1.42,14.0,3
4.9,0.544,0.7,1.6,0.474,61.0,133.0,0.9944,2.79,0.95,11.8,4
14.9,0.484,0.19,5.5,0.249,40.0,35.0,0.9996,3.15,0.78,12.0,3
16.0,0.591,0.45,4.0,0.012,7.0,11.0,1.0022,3.67,1.53,10.4,5
12.4,0.347,0.83,8.5,0.511,18.0,180.0,0.9933,3.27,1.77,11.9,6
13.2,0.372,0.65,2.2,0.235,13.0,278.0,1.0037,3.76,1.41,8.5,5
8.0,1.286,0.41,12.2,0.303,10.0,262.0,0.9954,3.41,1.17,13.4,4
15.3,0.677,0.66,14.6,0.015,27.0,203.0,0.9937,3.91,0.57,10.0,3
10.4,0.754,0.12,12.0,0.3,17.0,33.0,0.9959,3.93,0.39,14.2,4
12.8,0.991,0.4,8.8,0.592,16.0,84.0,0.9913,2.79,1.06,10.6,5
15.1,0.984,0.79,13.9,0.174,5.0,97.0,0.9918,3.29,0.38,9.0,4
15.7,0.201,0.22,11.3,0.243,2.0,222.0,0.9958,3.49,1.27,12.9,8
14.0,1.347,0.19,0.8,0.415,8.0,233.0,1.0007,3.03,0.95,9.2,7
7.6,0.366,0.95,6.7,0.491,13.0,115.0,1.0026,3.23,1.59,13.3,5
15.6,1.185,0.21,13.7,0.256,32.0,124.0,0.9993,3.58,0.82,14.8,4
11.5,1.259,0.26,5.9,0.193,37.0,19.0,0.9915,2.99,1.31,13.5,3
15.2,1.172,0.97,1.1,0.563,11.0,88.0,0.9994,3.48,1.21,8.2,4
12.1,0.968,0.73,12.1,0.41,31.0,134.0,0.9989,3.61,0.31,12.2,3
7.7,0.122,0.7,13.0,0.08,25.0,39.0,1.0013,2.82,0.42,12.9,7
8.4,0.641,0.85,3.1,0.051,14.0,134.0,1.0016,3.35,0.79,13.8,4
10.6,1.007,0.12,8.9,0.295,1.0,247.0,1.0022,3.04,1.8,8.4,7
13.5,0.681,0.71,3.6,0.14,34.0,171.0,0.9958,3.64,0.55,11.4,5
7.8,1.395,0.5,11.7,0.16,50.0,28.0,0.9998,2.95,1.51,11.7,3
11.0,0.563,0.83,4.8,0.528,17.0,60.0,0.9938,3.86,1.95,9.2,8
8.1,0.54,0.51,5.5,0.063,10.0,140.0,1.004,3.26,1.64,10.3,5
13.8,0.499,0.62,13.6,0.432,64.0,108.0,0.9925,2.96,0.71,11.1,3
9.6,0.599,0.48,7.9,0.17,21.0,108.0,0.9901,3.27,1.84,13.8,7
