CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
75.5019,67.5,7.01,1,0.846,6.54,10.7,1.18,12,486.0,18.7,36.7,17.9
35.5018,23.6,27.89,1,0.64,7.98,74.6,8.88,16,223.0,13.1,26.4,17.2
49.0114,91.2,7.56,0,0.847,8.45,23.5,5.4,1,535.0,13.4,29.69,30.2
62.9004,66.7,20.83,1,0.755,4.93,11.6,1.25,4,543.0,15.6,32.04,23.8
5.194,36.8,11.97,1,0.455,6.72,48.8,5.07,19,271.0,14.6,25.62,27.9
31.2337,41.5,4.25,1,0.461,7.34,9.3,10.96,18,502.0,18.2,13.69,7.4
64.9496,69.1,7.52,0,0.553,4.7,63.7,6.62,8,508.0,15.7,7.38,48.7
60.933,14.1,19.07,0,0.509,5.66,64.8,11.85,6,438.0,18.8,10.31,7.6
4.7536,88.3,9.77,0,0.595,4.49,27.2,6.94,13,695.0,19.7,32.21,13.0
21.1704,0.5,17.11,0,0.676,7.2,96.5,11.59,20,238.0,13.9,26.97,35.5
60.5181,97.9,6.15,0,0.594,8.08,82.8,3.22,3,400.0,21.2,18.25,12.0
24.1604,16.8,12.84,0,0.408,8.15,12.7,4.19,15,657.0,19.9,2.77,9.8
72.4836,74.2,14.59,0,0.858,7.05,75.4,8.7,6,389.0,18.3,11.36,11.9
2.6318,4.0,11.85,1,0.588,5.34,36.6,11.86,6,409.0,21.1,28.16,7.8
16.9457,43.1,5.94,1,0.797,7.0,75.5,10.08,5,541.0,14.7,20.3,16.3
25.0412,63.0,13.19,0,0.416,8.08,80.5,7.09,19,539.0,16.2,17.51,17.2
82.3512,7.0,19.55,1,0.777,6.82,16.8,1.94,10,192.0,12.9,13.09,27.4
70.8736,44.3,27.03,0,0.465,5.69,66.9,5.01,9,426.0,16.6,23.73,24.7
78.6896,30.3,22.21,0,0.713,8.37,86.5,1.95,14,360.0,17.1,36.78,26.3
39.206,49.8,4.94,0,0.704,7.93,33.7,4.42,22,519.0,18.2,34.41,32.7
