brand,year,mileage,engine_size,fuel_type,transmission,price
Honda,2012,74439.0,2.0,hybrid,automatic,4272.0
Hyundai,2012,64644.0,3.1,diesel,manual,4124.0
Toyota,2005,137117.0,4.5,gasoline,manual,40590.0
Hyundai,2012,141010.0,3.5,diesel,automatic,27183.0
BMW,2014,128632.0,3.4,hybrid,automatic,44493.0
Toyota,2018,72677.0,3.7,gasoline,automatic,29053.0
Honda,2005,12725.0,3.1,electric,automatic,70622.0
BMW,2005,184601.0,2.8,diesel,automatic,16074.0
Ford,2009,63443.0,2.5,hybrid,automatic,7410.0
Honda,2002,159127.0,3.8,electric,manual,29405.0
Ford,2019,70335.0,4.1,gasoline,automatic,13714.0
Toyota,2019,98949.0,2.7,electric,automatic,48547.0
Ford,2016,74734.0,1.2,gasoline,automatic,39382.0
Toyota,2012,16265.0,3.2,gasoline,manual,57513.0
Ford,2015,65889.0,3.3,diesel,manual,8605.0
Hyundai,2016,191136.0,2.9,gasoline,manual,61088.0
Hyundai,2003,22067.0,2.4,hybrid,manual,24296.0
BMW,2007,111168.0,4.6,hybrid,automatic,54700.0
Ford,2008,193681.0,2.9,diesel,manual,25407.0
Toyota,2021,4102.0,4.2,gasoline,manual,67202.0
Honda,2011,13838.0,3.6,hybrid,manual,67225.0
Toyota,2011,181823.0,4.1,electric,manual,26586.0
Hyundai,2018,147112.0,4.5,hybrid,automatic,73036.0
Honda,2000,109065.0,2.0,gasoline,automatic,27720.0
Ford,2003,107328.0,4.3,electric,automatic,71968.0
Hyundai,2001,194977.0,3.9,hybrid,automatic,17872.0
Ford,2006,4191.0,3.2,electric,manual,25169.0
Hyundai,2002,54095.0,3.2,gasoline,manual,71082.0
Ford,2007,63365.0,2.2,hybrid,manual,9223.0
Hyundai,2008,23898.0,3.2,diesel,manual,57037.0
BMW,2019,71445.0,2.5,electric,automatic,55513.0
Toyota,2020,74082.0,4.6,diesel,manual,77856.0
Toyota,2020,191760.0,3.3,diesel,manual,77865.0
Ford,2023,88404.0,2.2,diesel,manual,39998.0
Ford,2000,186955.0,1.6,electric,automatic,53697.0
Honda,2021,162007.0,3.8,hybrid,automatic,14996.0
Honda,2010,147368.0,3.7,electric,automatic,20408.0
Toyota,2001,66105.0,2.4,electric,automatic,46000.0
Toyota,2008,85395.0,1.6,hybrid,automatic,21295.0
BMW,2006,8912.0,3.9,gasoline,automatic,19699.0
Ford,2014,75469.0,2.1,hybrid,manual,4759.0
Ford,2015,174081.0,4.4,electric,automatic,8647.0
Toyota,2011,156276.0,3.9,electric,automatic,57780.0
Ford,2009,161673.0,4.6,diesel,manual,4103.0
Honda,2008,44320.0,4.9,diesel,manual,71975.0
Ford,2015,42007.0,2.4,electric,manual,9057.0
Honda,2011,132668.0,3.0,gasoline,manual,15056.0
Hyundai,2009,130253.0,2.6,gasoline,manual,29206.0
Ford,2019,39062.0,1.3,gasoline,manual,58953.0
Hyundai,2020,143929.0,2.6,gasoline,automatic,56955.0
Toyota,2012,75230.0,2.8,diesel,automatic,21985.0
Ford,2012,177361.0,1.7,electric,automatic,28178.0
BMW,2022,72896.0,4.5,hybrid,automatic,66235.0
BMW,2018,45992.0,2.2,hybrid,manual,41252.0
Hyundai,2012,39173.0,4.0,hybrid,automatic,38282.0
BMW,2023,179640.0,1.3,hybrid,automatic,51778.0
Honda,2022,172006.0,1.1,gasoline,automatic,38177.0
Toyota,2021,85174.0,5.0,hybrid,manual,36418.0
Honda,2023,48144.0,1.5,electric,automatic,64492.0
Toyota,2017,56909.0,4.1,gasoline,manual,74720.0
BMW,2020,76990.0,3.4,electric,automatic,45293.0
Toyota,2012,8870.0,2.8,gasoline,manual,25279.0
Honda,2008,13459.0,1.1,hybrid,automatic,76127.0
Hyundai,2023,185492.0,2.3,hybrid,automatic,57049.0
Hyundai,2016,153224.0,4.6,electric,automatic,53383.0
Ford,2009,162797.0,4.6,electric,automatic,49714.0
Honda,2014,95729.0,3.4,hybrid,manual,60009.0
Honda,2007,72996.0,3.3,electric,manual,62722.0
Hyundai,2017,18394.0,2.7,electric,manual,63921.0
BMW,2013,111617.0,4.1,electric,manual,78137.0
Hyundai,2015,148672.0,4.5,gasoline,automatic,34663.0
Ford,2006,39182.0,3.9,electric,automatic,21683.0
Ford,2016,77832.0,3.1,gasoline,automatic,33346.0
Honda,2013,185463.0,3.5,electric,manual,62043.0
Honda,2002,168750.0,1.9,electric,manual,44634.0
Ford,2022,159659.0,5.0,diesel,manual,69581.0
Honda,2009,7887.0,4.7,diesel,manual,21183.0
Toyota,2000,33116.0,4.8,diesel,manual,59751.0
Ford,2010,61208.0,1.7,gasoline,automatic,22200.0
Ford,2008,60729.0,3.6,electric,manual,64532.0
Honda,2003,25792.0,3.6,gasoline,automatic,36744.0
Toyota,2004,57890.0,2.4,electric,automatic,79185.0
Ford,2018,85629.0,4.5,hybrid,automatic,54493.0
