engine_size,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_type,co2_emissions
2.6,8,26.9,5.9,Z,258.0
1.3,8,28.0,6.9,Z,473.0
3.5,4,28.8,9.3,X,460.0
5.9,6,19.6,14.4,X,207.0
3.4,5,20.2,12.4,D,150.0
2.6,12,12.1,15.4,X,458.0
4.3,3,27.0,4.5,D,398.0
4.4,5,16.7,17.0,Z,224.0
5.6,10,11.3,19.8,Z,222.0
5.8,6,29.1,4.7,D,229.0
5.2,10,22.3,11.9,E,445.0
1.0,10,16.1,15.8,Z,196.0
1.0,10,5.8,11.6,E,360.0
6.9,10,7.6,13.5,D,434.0
2.6,6,9.1,18.7,E,255.0
2.7,5,27.5,12.6,D,125.0
5.4,5,29.3,7.8,D,404.0
4.5,10,10.9,15.8,X,108.0
3.8,4,17.0,10.0,Z,432.0
1.7,5,24.6,8.6,Z,244.0
1.5,12,14.0,8.0,D,421.0
5.2,10,16.8,5.3,E,318.0
1.7,5,27.1,18.9,X,244.0
3.6,4,9.4,13.0,E,460.0
5.4,6,29.8,19.3,Z,407.0
6.5,8,15.9,17.8,E,132.0
6.2,4,10.7,4.5,X,472.0
6.2,5,27.2,8.0,E,287.0
3.2,3,6.0,9.0,Z,160.0
6.6,12,20.7,11.8,D,408.0
5.1,5,5.6,15.5,Z,307.0
6.3,12,28.6,14.9,X,369.0
1.5,3,20.6,19.8,D,378.0
1.2,4,14.3,18.8,X,179.0
3.6,8,15.0,7.0,Z,488.0
6.0,8,8.3,17.8,E,142.0
3.5,3,13.4,17.5,Z,342.0
6.3,6,27.5,13.2,E,159.0
2.4,3,24.9,9.4,D,451.0
1.2,3,21.2,7.3,E,169.0
5.6,10,29.2,7.4,E,276.0
4.8,4,18.9,9.4,D,135.0
3.6,12,8.6,12.1,X,279.0
6.1,12,22.6,13.3,D,102.0
5.9,5,19.4,9.2,X,277.0
2.9,12,15.4,9.7,D,375.0
6.0,6,7.8,4.2,E,173.0
3.1,10,21.6,4.0,Z,321.0
4.7,12,15.5,18.5,E,290.0
2.2,10,19.0,4.2,X,234.0
2.6,12,12.2,4.5,Z,368.0
3.7,3,8.0,7.3,E,498.0
2.9,4,13.4,15.9,E,475.0
1.8,10,26.2,14.9,Z,488.0
3.9,12,8.1,14.4,E,108.0
4.1,6,16.3,13.2,X,203.0
2.0,12,11.7,7.2,D,469.0
2.0,8,29.0,10.4,X,119.0
1.2,8,6.2,11.6,E,246.0
1.2,4,10.4,13.3,Z,361.0
3.2,6,15.7,7.2,Z,493.0
1.9,5,10.4,15.7,Z,210.0
6.5,4,22.4,8.9,E,406.0
2.2,12,13.6,14.6,Z,364.0
1.4,10,24.3,12.2,X,345.0
3.4,10,18.3,13.5,X,397.0
2.2,12,15.1,10.6,E,202.0
1.4,5,13.5,11.1,X,235.0
5.5,3,9.8,17.9,X,324.0
4.3,5,10.6,11.6,Z,276.0
1.3,4,8.6,16.7,D,389.0
3.8,6,26.1,10.3,X,420.0
1.2,5,18.3,15.2,E,311.0
3.1,12,16.6,7.7,Z,258.0
3.2,3,12.4,18.7,X,465.0
5.9,6,17.4,19.5,E,400.0
5.4,12,26.9,18.4,E,369.0
6.4,8,26.3,9.5,Z,123.0
1.8,8,19.6,8.4,E,311.0
4.2,6,17.8,6.9,D,149.0
1.1,10,9.9,18.0,D,364.0
6.0,10,22.0,5.9,X,220.0
3.2,4,26.2,14.3,D,395.0
1.4,5,11.9,9.3,Z,411.0
2.9,5,15.3,7.0,Z,220.0
2.7,10,6.8,7.0,X,491.0
5.6,6,26.3,17.9,D,307.0
1.8,5,6.5,17.8,E,187.0
4.3,8,22.3,8.4,E,410.0
5.8,6,8.9,4.5,D,404.0
5.4,10,23.1,17.9,Z,266.0
6.6,12,20.7,4.9,Z,363.0
1.0,5,22.0,5.4,Z,109.0
3.1,3,20.5,17.2,Z,216.0
3.2,10,14.3,17.1,D,453.0
1.2,10,20.1,7.2,X,193.0
5.9,12,10.1,4.6,D,462.0
5.1,4,11.1,5.0,D,332.0
4.2,3,5.7,11.3,Z,461.0
3.4,10,19.9,10.7,Z,152.0
6.4,3,25.9,6.9,Z,286.0
2.6,5,13.8,18.5,X,219.0
3.0,6,9.4,12.8,X,455.0
6.7,8,25.4,16.9,Z,237.0
1.4,6,20.7,5.7,Z,335.0
5.7,5,27.2,19.6,D,431.0
5.3,5,4.2,17.0,D,192.0
6.4,8,14.4,8.6,D,118.0
1.5,3,27.4,4.3,Z,298.0
6.8,3,21.6,6.6,D,373.0
1.2,12,16.2,10.7,E,388.0
3.0,6,14.8,4.0,X,267.0
1.5,4,27.3,4.7,D,131.0
1.3,5,25.6,5.6,X,261.0
6.8,8,4.3,17.0,D,149.0
5.3,6,7.1,12.7,X,129.0
4.0,12,17.3,7.1,Z,221.0
1.6,8,7.0,8.2,E,411.0
4.2,3,11.1,14.3,X,407.0
2.9,10,25.7,9.1,D,343.0
2.6,12,14.0,14.9,Z,430.0
4.7,3,15.7,16.5,E,300.0
5.7,6,8.5,8.9,Z,197.0
3.7,12,19.7,9.9,Z,328.0
4.0,4,7.1,4.8,X,469.0
4.9,3,20.4,17.1,E,114.0
1.7,8,23.4,13.7,Z,486.0
6.0,5,26.7,18.2,D,398.0
6.0,12,19.1,7.0,Z,374.0
4.2,5,12.6,19.4,D,346.0
2.1,4,26.1,15.3,Z,203.0
4.0,6,19.5,7.1,E,454.0
1.6,4,13.3,11.4,E,489.0
5.6,8,12.4,15.2,E,470.0
2.9,12,12.3,4.3,X,144.0
2.9,4,5.5,16.5,Z,395.0
6.7,12,6.6,19.2,E,323.0
3.5,5,6.3,5.3,D,415.0
5.7,10,12.1,18.4,D,241.0
4.8,12,16.3,11.4,Z,483.0
2.9,3,7.8,12.2,E,225.0
1.7,3,25.5,17.4,X,395.0
5.8,12,5.7,13.4,E,302.0
