serving_size,fat,protein,carbs,fiber,sugar,sodium,calories
411.0,5.0,23.4,7.7,8.3,12.4,409.0,376.0
274.0,43.6,21.6,37.8,8.2,26.9,1099.0,593.0
391.0,38.2,35.4,78.0,12.4,30.6,1361.0,719.0
212.0,19.5,11.2,70.6,6.1,1.6,811.0,586.0
299.0,41.7,2.5,79.2,0.2,33.9,407.0,619.0
217.0,6.9,17.1,46.6,13.1,20.6,383.0,367.0
269.0,32.6,36.7,53.8,9.9,23.2,5.0,291.0
92.0,47.7,17.6,21.1,2.8,8.2,1405.0,411.0
303.0,45.5,11.1,36.7,0.4,0.4,506.0,523.0
490.0,38.0,24.7,1.7,4.7,38.1,1941.0,407.0
385.0,13.3,29.5,57.6,1.9,37.1,1494.0,634.0
167.0,5.1,18.5,74.1,13.5,31.0,591.0,134.0
433.0,16.2,15.2,9.0,4.2,18.9,318.0,323.0
449.0,30.9,14.6,36.4,10.6,12.7,1249.0,63.0
97.0,15.8,16.9,49.9,9.9,6.2,1729.0,540.0
36.0,20.7,33.7,50.6,10.7,3.2,1169.0,608.0
291.0,20.2,19.3,24.5,8.0,18.3,22.0,537.0
243.0,16.8,12.6,1.6,10.9,31.7,1573.0,765.0
360.0,46.2,7.3,71.0,7.7,29.0,1928.0,746.0
154.0,16.0,11.3,7.3,5.7,30.2,95.0,224.0
196.0,49.7,18.5,14.2,12.9,4.7,1618.0,202.0
139.0,10.5,21.9,77.0,6.9,34.5,1438.0,30.0
153.0,43.6,24.9,40.0,8.5,32.2,795.0,407.0
15.0,36.6,2.9,69.9,7.0,3.8,1268.0,690.0
260.0,33.4,24.5,71.8,11.6,14.3,318.0,134.0
242.0,22.3,14.1,79.2,8.1,15.0,1440.0,479.0
184.0,40.8,10.3,3.3,7.1,29.4,1162.0,579.0
275.0,24.6,13.2,4.2,3.9,34.4,173.0,300.0
202.0,6.8,31.4,15.3,13.7,15.0,1736.0,565.0
222.0,14.0,32.1,52.5,12.9,5.2,257.0,671.0
11.0,9.1,4.2,21.0,6.5,3.3,877.0,18.0
42.0,28.5,19.8,39.6,9.9,25.6,262.0,591.0
84.0,32.8,21.2,62.9,7.6,19.9,1292.0,484.0
100.0,16.8,1.2,14.9,2.6,36.1,1476.0,677.0
232.0,2.0,28.7,22.9,5.6,38.1,1894.0,119.0
439.0,32.9,14.7,58.2,12.8,35.9,505.0,648.0
209.0,3.1,16.7,0.6,12.0,3.0,733.0,122.0
317.0,48.3,24.4,60.6,1.5,11.4,773.0,472.0
23.0,44.4,18.8,54.1,1.1,9.6,194.0,224.0
429.0,41.5,29.9,10.4,12.8,2.7,1616.0,200.0
65.0,18.4,23.8,19.5,13.5,36.7,165.0,404.0
149.0,37.2,9.0,1.2,4.4,35.8,677.0,608.0
410.0,2.3,34.8,46.5,5.2,15.6,381.0,520.0
140.0,4.5,8.6,31.8,5.0,38.3,1329.0,791.0
136.0,24.7,28.5,33.9,1.9,22.5,1811.0,104.0
305.0,29.3,31.7,8.3,11.2,17.4,1493.0,580.0
453.0,38.3,27.5,28.2,5.6,22.0,1549.0,54.0
115.0,14.9,16.9,73.5,12.5,16.9,157.0,292.0
314.0,27.1,35.1,5.2,13.2,11.7,1478.0,281.0
304.0,3.1,13.1,78.0,13.7,7.2,125.0,212.0
333.0,23.5,27.5,67.8,12.3,18.4,968.0,431.0
474.0,33.6,35.1,16.2,11.8,21.2,1384.0,202.0
91.0,49.5,6.2,56.4,6.7,32.9,509.0,300.0
331.0,38.4,26.1,7.3,0.4,18.9,1365.0,689.0
99.0,49.8,36.0,12.8,1.7,33.2,1761.0,266.0
164.0,24.9,4.1,39.0,8.0,38.2,1756.0,789.0
201.0,21.6,5.8,32.0,5.4,28.9,384.0,228.0
419.0,41.7,15.1,65.2,12.4,4.8,549.0,723.0
36.0,23.1,39.8,75.1,8.4,18.5,1332.0,351.0
369.0,37.8,9.0,75.4,1.5,34.3,1683.0,727.0
457.0,49.7,13.0,11.8,7.2,19.7,910.0,347.0
49.0,36.2,33.4,54.9,12.3,32.4,1844.0,619.0
397.0,0.7,5.2,45.7,12.9,31.0,1149.0,326.0
63.0,9.0,39.8,29.6,2.5,6.4,524.0,501.0
482.0,13.8,29.6,79.6,1.5,13.2,40.0,51.0
410.0,41.1,38.4,36.5,5.8,30.6,1615.0,483.0
351.0,46.6,5.8,53.2,1.0,6.4,186.0,260.0
280.0,32.5,9.3,40.2,10.9,16.9,157.0,797.0
461.0,4.4,14.8,8.2,6.7,5.5,1554.0,650.0
68.0,25.0,2.0,11.3,3.0,9.4,63.0,73.0
70.0,43.0,2.4,60.0,1.5,11.4,1686.0,167.0
413.0,18.1,36.2,64.1,13.9,21.2,1197.0,497.0
246.0,3.3,1.7,29.1,0.6,36.5,1273.0,247.0
424.0,39.0,30.0,5.4,1.5,15.4,1876.0,178.0
201.0,32.9,28.7,76.6,3.5,34.0,1733.0,291.0
231.0,23.3,2.9,39.8,1.4,27.8,152.0,94.0
173.0,42.5,7.5,10.7,9.7,31.2,1706.0,448.0
476.0,42.5,18.2,15.9,3.3,30.5,1334.0,234.0
238.0,35.0,25.7,3.6,7.2,12.1,634.0,695.0
380.0,47.1,35.8,56.8,12.9,9.5,1707.0,36.0
351.0,22.7,21.1,56.3,12.4,39.1,47.0,287.0
125.0,36.4,37.5,48.2,2.2,29.5,1675.0,444.0
458.0,41.5,7.6,43.7,1.3,14.6,1240.0,196.0
277.0,31.8,24.9,30.5,10.0,22.2,522.0,55.0
429.0,27.7,33.8,76.1,3.2,31.0,12.0,67.0
418.0,36.6,9.3,64.0,11.7,2.2,1043.0,136.0
39.0,17.7,31.5,72.6,6.5,4.0,845.0,225.0
314.0,18.3,16.0,24.9,2.3,1.0,1725.0,568.0
397.0,48.8,40.0,78.3,14.6,6.6,1576.0,385.0
454.0,5.9,3.7,13.2,0.8,4.8,1179.0,36.0
258.0,42.1,22.1,4.5,1.9,18.5,302.0,132.0
378.0,39.4,31.3,25.6,12.2,11.5,1452.0,301.0
485.0,2.7,27.0,16.1,6.8,1.8,1187.0,342.0
416.0,35.2,20.2,41.4,14.1,18.0,45.0,60.0
429.0,4.7,20.5,28.0,1.7,23.1,1524.0,106.0
210.0,10.5,16.2,13.7,2.4,14.8,1663.0,217.0
55.0,47.9,13.7,67.5,0.0,10.4,1549.0,671.0
483.0,18.1,23.7,40.6,3.3,15.6,353.0,175.0
351.0,2.8,29.9,8.8,9.9,20.8,1005.0,189.0
94.0,26.1,11.2,6.0,10.8,17.4,1055.0,401.0
487.0,10.3,37.9,30.7,6.4,3.7,1869.0,714.0
361.0,21.3,14.6,72.6,3.9,18.3,1851.0,427.0
54.0,5.1,17.4,40.6,10.7,28.8,125.0,73.0
94.0,4.8,16.4,11.1,2.6,32.8,1998.0,157.0
434.0,25.2,4.5,19.7,11.5,17.6,1573.0,686.0
477.0,16.8,4.6,4.0,11.8,39.8,751.0,703.0
189.0,7.8,31.8,66.5,6.6,33.7,1487.0,638.0
212.0,29.0,15.3,75.7,2.9,8.6,753.0,438.0
204.0,3.1,8.6,6.2,9.4,18.3,1873.0,357.0
419.0,37.6,28.3,13.8,12.8,11.8,756.0,222.0
232.0,2.6,38.4,13.7,7.9,22.0,1532.0,443.0
194.0,48.5,37.5,64.3,6.9,9.0,311.0,549.0
315.0,36.8,28.9,67.1,14.7,1.4,1705.0,483.0
250.0,44.9,7.7,33.5,8.1,36.2,1241.0,188.0
271.0,22.0,6.2,77.5,0.5,20.8,1615.0,723.0
209.0,2.9,34.8,20.8,7.5,36.6,836.0,318.0
236.0,11.5,38.5,42.0,6.7,4.7,693.0,709.0
28.0,48.6,24.9,79.7,4.4,6.1,1065.0,324.0
464.0,30.9,36.1,66.2,4.8,9.1,776.0,40.0
25.0,11.4,32.6,39.0,14.0,18.3,1028.0,593.0
389.0,24.1,6.2,8.7,2.0,35.2,861.0,737.0
156.0,15.9,8.9,72.3,11.5,26.0,393.0,211.0
65.0,24.5,2.7,43.4,13.5,2.2,1953.0,439.0
309.0,41.8,19.0,24.7,3.9,16.3,32.0,648.0
356.0,11.1,13.0,36.1,1.0,28.9,1851.0,264.0
319.0,20.0,17.0,24.9,4.6,12.9,1655.0,236.0
292.0,22.3,0.3,44.1,6.5,19.7,842.0,335.0
273.0,29.4,28.8,21.8,14.3,28.5,644.0,445.0
275.0,3.9,8.0,35.7,6.5,38.6,329.0,447.0
434.0,10.4,14.7,34.1,1.4,13.3,266.0,394.0
54.0,19.9,16.1,49.3,2.2,29.8,1102.0,658.0
87.0,40.5,2.6,1.1,5.3,29.9,211.0,131.0
408.0,9.3,14.6,47.9,2.8,21.7,953.0,77.0
158.0,44.1,36.0,47.4,0.9,32.5,1629.0,143.0
388.0,17.0,35.7,31.4,2.6,21.4,1514.0,566.0
183.0,12.7,1.0,19.8,1.6,25.0,265.0,125.0
463.0,20.5,1.2,67.1,3.0,33.5,1922.0,265.0
148.0,27.7,23.8,27.6,14.9,19.1,572.0,705.0
219.0,36.7,8.2,24.9,6.7,19.1,1411.0,121.0
88.0,23.8,35.9,37.1,9.9,23.6,601.0,427.0
337.0,40.9,19.3,22.2,2.5,32.2,1235.0,410.0
207.0,40.9,13.0,66.5,12.7,5.1,1145.0,37.0
471.0,0.1,38.1,45.2,4.0,30.8,357.0,101.0
18.0,39.6,12.7,60.4,14.7,11.8,1305.0,761.0
200.0,22.1,12.8,59.6,12.6,2.8,652.0,769.0
22.0,48.4,5.3,63.1,14.3,31.7,1222.0,701.0
171.0,41.0,8.9,69.5,10.0,5.8,1083.0,351.0
196.0,19.2,30.4,73.6,9.9,8.5,1685.0,478.0
136.0,31.7,30.4,30.7,12.6,28.2,427.0,661.0
135.0,9.7,15.5,35.5,10.7,22.6,303.0,544.0
137.0,14.5,14.0,4.0,9.1,36.8,1710.0,717.0
140.0,10.1,16.7,74.1,5.4,38.2,889.0,259.0
148.0,37.6,12.0,47.0,3.3,12.6,1564.0,503.0
427.0,0.4,24.3,57.0,11.7,13.0,1919.0,458.0
29.0,20.4,33.5,34.9,5.8,8.4,1089.0,788.0
495.0,41.9,0.4,37.9,0.9,20.7,601.0,704.0
148.0,35.5,37.4,43.5,7.2,15.1,1588.0,141.0
24.0,21.1,4.7,63.6,9.9,0.6,1862.0,57.0
96.0,31.7,36.0,49.0,0.3,15.8,490.0,363.0
472.0,21.6,9.3,64.9,10.6,2.5,1377.0,441.0
499.0,42.2,36.7,17.3,3.4,32.0,1561.0,634.0
131.0,28.6,31.5,16.5,3.3,37.2,53.0,136.0
120.0,31.6,10.8,16.5,8.4,11.8,1185.0,737.0
420.0,49.4,1.1,0.4,5.1,26.0,1266.0,462.0
458.0,38.5,28.6,14.3,6.8,3.5,1273.0,676.0
329.0,14.3,32.9,9.5,7.7,14.5,168.0,671.0
469.0,38.6,27.2,36.3,13.8,23.0,43.0,762.0
476.0,46.4,15.3,10.2,3.1,4.2,587.0,530.0
382.0,14.8,5.1,33.3,7.0,15.1,716.0,629.0
181.0,40.9,13.9,80.0,11.8,38.2,289.0,658.0
83.0,11.9,10.7,40.3,3.1,6.6,1019.0,380.0
264.0,21.7,28.9,74.0,1.2,24.8,455.0,352.0
152.0,34.5,6.4,56.2,0.3,33.3,675.0,758.0
68.0,12.2,32.8,71.5,1.6,30.8,586.0,63.0
203.0,9.4,24.5,50.0,4.1,30.9,1544.0,763.0
245.0,23.1,19.3,64.8,6.1,2.4,1754.0,467.0
334.0,39.2,14.4,24.2,8.9,38.9,597.0,243.0
118.0,29.8,20.3,29.8,3.0,29.1,753.0,450.0
436.0,35.1,21.6,76.8,4.0,38.2,1631.0,514.0
101.0,34.5,9.5,21.4,10.5,39.2,1518.0,98.0
499.0,27.2,39.6,33.7,13.6,14.3,1418.0,539.0
283.0,15.8,36.4,52.1,2.0,21.7,1416.0,723.0
82.0,21.1,15.6,31.4,7.1,29.2,594.0,777.0
419.0,19.0,10.2,1.7,4.4,34.0,1873.0,484.0
134.0,4.0,12.3,63.4,7.9,38.8,1618.0,268.0
102.0,44.9,39.2,26.9,1.8,39.0,424.0,455.0
76.0,32.1,16.3,18.2,4.1,13.1,1324.0,12.0
280.0,42.9,36.5,40.4,10.6,27.2,310.0,736.0
441.0,38.8,2.4,0.7,12.3,5.9,1155.0,630.0
450.0,3.4,31.1,69.1,9.3,32.4,578.0,141.0
395.0,10.8,30.5,20.9,14.2,6.4,210.0,491.0
295.0,47.5,26.0,73.8,9.8,35.6,1206.0,26.0
270.0,23.1,4.8,54.2,11.2,39.2,1769.0,181.0
193.0,40.6,39.3,43.9,5.4,3.5,281.0,144.0
32.0,28.8,8.5,64.5,2.5,20.5,1798.0,133.0
420.0,41.2,28.4,79.5,9.9,10.6,256.0,446.0
500.0,36.7,30.1,20.1,13.8,18.8,1484.0,772.0
461.0,14.0,30.4,28.4,14.7,11.8,1979.0,113.0
467.0,49.6,33.0,38.8,6.8,2.6,187.0,700.0
173.0,24.5,39.6,43.2,8.1,15.8,425.0,75.0
