CustomerID,Gender,Age,Annual_Income,Spending_Score
1,Female,55,69,69
2,Female,62,34,46
3,Male,40,136,46
4,Male,25,96,95
5,Female,56,112,42
6,Male,29,37,53
7,Female,35,97,33
8,Male,20,24,89
9,Male,66,128,22
10,Female,21,62,58
11,Male,38,115,8
12,Female,26,59,9
13,Male,66,48,11
14,Female,61,75,95
15,Female,45,78,93
16,Female,32,139,87
17,Female,44,57,37
18,Male,21,122,20
19,Female,43,99,48
20,Male,19,78,87
21,Male,38,54,9
22,Male,35,58,46
23,Male,19,125,82
24,Female,24,93,94
25,Male,37,36,26
26,Female,61,31,16
27,Male,33,56,50
28,Female,31,21,84
29,Male,49,78,16
30,Female,32,130,88
31,Female,67,66,16
32,Male,47,39,59
33,Male,65,72,96
34,Male,64,36,38
35,Female,24,88,62
36,Male,41,69,81
37,Female,34,64,57
38,Female,34,60,53
39,Female,56,30,36
40,Female,22,91,42
41,Female,18,57,54
42,Female,67,49,88
43,Female,60,139,89
44,Female,38,72,79
45,Male,47,44,52
46,Male,21,63,21
47,Female,22,83,40
48,Female,58,53,16
49,Female,38,75,83
50,Female,37,84,20
51,Female,37,116,5
52,Male,54,116,15
53,Male,34,98,40
54,Male,26,53,74
55,Female,49,20,75
56,Male,66,19,98
57,Male,40,133,44
58,Male,37,21,57
59,Male,26,93,72
60,Female,43,96,40
61,Male,34,115,63
62,Female,37,121,24
63,Male,48,41,98
64,Male,35,37,40
65,Female,38,107,21
66,Female,44,102,66
67,Male,43,103,19
68,Female,61,98,14
69,Male,56,60,76
70,Male,32,35,20
71,Male,61,54,57
72,Female,48,118,20
73,Male,36,80,31
74,Female,57,62,29
75,Male,62,63,75
76,Male,21,136,56
77,Male,54,56,52
78,Male,64,60,75
79,Female,24,122,82
80,Female,65,98,74
81,Female,34,25,18
82,Male,27,80,9
83,Male,60,125,61
84,Male,31,75,58
85,Female,62,29,70
86,Male,35,40,76
87,Male,66,17,1
88,Male,26,32,74
89,Male,33,34,66
90,Female,26,102,45
91,Male,28,73,41
92,Male,44,94,72
93,Male,47,119,25
94,Female,31,101,30
95,Female,31,128,91
96,Female,46,117,44
97,Male,28,24,77
98,Female,32,100,32
99,Male,61,98,6
100,Female,31,127,59
101,Male,44,62,84
102,Male,20,88,14
103,Male,29,40,23
104,Male,31,63,77
105,Male,58,100,88
106,Male,34,26,48
107,Female,34,85,60
108,Female,65,75,47
109,Female,51,111,10
110,Female,47,122,46
111,Female,40,76,74
112,Male,53,32,8
113,Male,42,135,82
114,Female,57,62,50
115,Female,49,58,76
116,Male,40,56,21
117,Female,58,89,26
118,Male,33,90,11
119,Female,49,46,11
120,Female,60,50,52
121,Male,27,50,30
122,Male,51,24,46
123,Male,50,116,1
124,Female,45,115,52
125,Male,68,123,15
126,Female,24,121,28
127,Male,57,55,63
128,Female,19,109,58
129,Female,52,17,69
130,Female,65,134,45
131,Male,24,62,41
132,Male,30,62,72
133,Female,20,63,38
134,Female,42,53,86
135,Male,24,118,38
136,Male,61,135,52
137,Female,44,137,46
138,Female,39,121,53
139,Female,45,90,30
140,Male,22,72,4
141,Male,19,30,2
142,Female,65,43,63
143,Male,53,127,85
144,Female,41,79,61
145,Male,49,106,33
146,Female,39,59,78
147,Male,59,86,80
148,Male,23,112,58
149,Female,68,94,92
150,Female,40,74,41
151,Female,63,132,9
152,Male,31,118,98
153,Female,32,104,75
154,Female,60,36,19
155,Male,23,39,93
156,Female,39,102,44
157,Male,61,21,73
158,Female,41,35,7
159,Female,31,79,31
160,Female,42,138,67
161,Female,44,16,8
162,Male,55,128,73
163,Female,68,31,53
164,Male,31,106,15
165,Female,38,62,8
166,Female,34,131,81
167,Male,31,33,96
168,Female,50,108,87
169,Male,59,61,65
170,Male,66,138,46
171,Male,26,75,7
172,Male,59,28,78
173,Male,35,70,10
174,Male,28,43,85
175,Female,66,16,98
176,Female,61,25,35
177,Male,46,46,48
178,Female,22,125,63
179,Female,41,124,61
180,Female,22,49,97
181,Male,27,57,76
182,Female,19,87,13
183,Female,40,48,95
184,Female,49,122,53
185,Male,18,87,79
186,Male,49,78,99
187,Female,35,61,9
188,Female,33,23,70
189,Female,33,17,67
190,Male,54,105,14
191,Male,41,59,14
192,Male,36,35,87
193,Female,57,72,49
194,Female,18,112,65
195,Female,28,106,97
196,Female,68,111,88
197,Female,57,137,90
198,Female,36,113,10
199,Male,22,54,39
200,Female,38,64,57
