text,action,comedy,drama,horror,sci-fi
love emotional dark funny dark love exciting adventure emotional funny futuristic,0,0,1,0,1
adventure emotional exciting exciting scary adventure emotional funny funny adventure emotional funny love futuristic,1,1,1,1,1
scary exciting dark funny futuristic emotional funny adventure emotional dark,0,1,0,0,0
love exciting emotional scary dark exciting emotional love emotional,0,1,1,1,1
futuristic adventure futuristic emotional adventure adventure futuristic love love love emotional,1,1,1,0,0
exciting exciting scary exciting funny dark funny futuristic adventure funny,0,1,0,1,1
adventure dark scary emotional scary dark exciting dark exciting dark exciting futuristic funny,0,0,1,0,0
dark emotional funny funny futuristic scary adventure funny funny exciting emotional exciting emotional,0,1,1,1,1
emotional exciting exciting scary dark futuristic scary funny emotional exciting exciting dark exciting dark,1,1,0,0,0
exciting adventure funny futuristic dark scary adventure scary dark adventure,0,1,0,1,1
exciting emotional exciting scary emotional,0,0,0,1,1
emotional exciting love love emotional futuristic exciting futuristic exciting adventure futuristic,0,1,0,1,0
love exciting dark dark scary adventure adventure adventure dark exciting scary funny,1,1,1,1,0
exciting dark adventure scary scary adventure,1,0,0,1,1
emotional emotional adventure dark love futuristic emotional exciting emotional emotional love,1,0,0,0,1
exciting love futuristic scary emotional dark adventure adventure funny scary exciting adventure love,1,1,1,0,1
love dark funny scary emotional dark exciting scary love,0,0,0,1,1
funny dark exciting funny emotional scary futuristic love emotional adventure emotional,1,0,0,1,0
adventure exciting funny emotional exciting adventure exciting emotional funny futuristic,1,1,0,0,1
funny futuristic love love love scary emotional,1,0,1,1,1
emotional adventure funny exciting exciting dark funny emotional emotional adventure dark emotional,1,0,0,0,0
dark exciting dark dark love scary emotional love exciting love,0,1,1,1,1
emotional adventure emotional funny exciting dark emotional futuristic futuristic love,0,0,0,0,0
adventure emotional love funny adventure emotional love love dark dark futuristic,1,0,1,1,1
love funny emotional love futuristic,1,1,1,1,0
love exciting futuristic adventure funny adventure scary dark emotional adventure exciting,1,1,0,1,0
love dark dark love funny love love scary scary dark emotional adventure emotional adventure,1,0,1,1,1
adventure emotional dark emotional scary funny dark dark futuristic futuristic dark exciting scary exciting,0,0,0,1,0
love futuristic love futuristic dark futuristic exciting love emotional exciting love futuristic scary scary,0,0,0,1,1
exciting dark adventure adventure exciting adventure funny exciting adventure adventure exciting,1,0,1,0,0
futuristic emotional futuristic love futuristic funny adventure,1,0,1,1,0
love dark emotional futuristic futuristic emotional love funny emotional funny love funny,1,1,1,0,0
scary adventure exciting funny emotional scary love love exciting adventure exciting funny emotional funny,1,0,1,1,1
futuristic futuristic scary love futuristic exciting exciting dark dark dark emotional funny emotional,1,0,1,0,1
love funny exciting scary love dark dark,1,1,1,1,0
dark scary futuristic dark funny funny emotional adventure adventure,1,1,1,0,1
futuristic adventure scary love scary scary adventure love scary emotional adventure scary futuristic dark,0,0,1,0,0
emotional love emotional adventure emotional funny emotional futuristic love adventure adventure scary,0,0,0,1,0
funny scary exciting funny love futuristic funny emotional funny emotional scary,0,1,0,1,1
funny futuristic dark exciting funny scary emotional dark scary love adventure adventure futuristic adventure,1,0,1,1,0
love exciting dark exciting funny exciting scary emotional funny adventure dark emotional exciting dark,0,1,1,1,1
emotional love love futuristic dark scary futuristic emotional emotional funny adventure,1,1,0,0,0
scary funny funny scary funny scary exciting funny emotional,1,1,1,1,1
funny scary exciting adventure exciting,1,1,1,1,0
funny funny scary exciting emotional scary adventure,0,0,1,0,0
emotional funny futuristic exciting emotional dark adventure adventure love scary dark funny exciting adventure,0,1,0,1,0
emotional scary adventure emotional scary,1,0,0,1,0
emotional emotional adventure love futuristic adventure,0,1,0,0,0
adventure dark emotional scary futuristic dark futuristic scary exciting,0,0,0,1,1
dark futuristic futuristic scary dark scary emotional love emotional dark exciting,0,0,1,1,1
exciting funny scary futuristic scary scary exciting scary funny adventure futuristic dark adventure,0,1,1,0,0
love emotional love love adventure,1,0,0,1,0
emotional scary futuristic funny scary emotional adventure dark futuristic dark scary futuristic,1,0,0,1,1
exciting funny funny funny dark emotional emotional dark funny futuristic,0,0,0,1,1
emotional adventure scary scary emotional funny futuristic exciting scary emotional dark futuristic dark,0,1,1,0,0
exciting exciting scary dark love scary,0,0,0,1,0
emotional love exciting funny funny love emotional exciting scary adventure,1,0,0,0,0
futuristic emotional funny futuristic love futuristic,0,1,1,0,0
emotional futuristic futuristic exciting adventure adventure,1,1,1,1,0
adventure exciting futuristic futuristic emotional scary dark exciting adventure scary exciting adventure love,0,0,0,0,0
adventure emotional emotional love funny,0,1,0,1,1
exciting love exciting dark emotional adventure exciting funny futuristic funny adventure futuristic emotional,1,1,1,1,0
scary adventure dark emotional scary futuristic scary futuristic adventure scary,1,1,1,1,0
scary futuristic funny exciting dark funny emotional love love scary love dark,1,0,0,0,1
futuristic dark funny funny adventure futuristic scary adventure emotional emotional,1,1,1,1,1
love dark futuristic dark funny adventure emotional,0,1,0,0,1
adventure emotional emotional adventure scary futuristic,1,1,0,0,0
love funny adventure futuristic emotional futuristic dark emotional exciting love exciting futuristic love dark,1,0,1,0,1
exciting love dark love funny emotional adventure exciting scary dark love funny emotional,1,1,0,1,0
funny scary adventure emotional futuristic futuristic funny adventure futuristic love emotional scary,0,0,1,0,1
futuristic exciting exciting adventure dark exciting futuristic dark,1,1,1,0,1
futuristic love dark emotional dark exciting funny adventure emotional,0,0,0,0,1
emotional futuristic dark futuristic emotional futuristic exciting emotional love love,0,1,1,0,0
love emotional love emotional futuristic love dark emotional dark dark,1,1,1,0,1
funny exciting emotional love dark emotional dark adventure futuristic adventure love scary adventure love,0,0,0,0,1
emotional exciting funny emotional emotional exciting exciting scary love emotional love,1,0,0,1,1
futuristic funny futuristic dark futuristic funny emotional,0,1,1,0,0
dark love funny exciting emotional funny funny adventure,0,1,0,1,0
dark scary futuristic futuristic adventure funny,1,1,0,1,0
futuristic scary dark emotional futuristic funny scary love scary love adventure funny dark exciting,1,0,1,1,0
futuristic dark exciting adventure emotional futuristic adventure love,0,1,1,0,0
exciting adventure adventure adventure futuristic dark adventure scary funny exciting scary adventure dark love,1,1,0,1,1
dark funny dark dark exciting exciting,1,1,1,1,1
exciting futuristic love funny adventure emotional scary exciting funny love adventure scary,0,0,0,0,0
scary dark emotional adventure exciting futuristic emotional,0,1,0,0,1
scary adventure love scary scary adventure adventure futuristic funny emotional love adventure funny,0,0,0,1,1
love futuristic dark dark exciting futuristic adventure funny,1,0,0,1,0
love dark love emotional futuristic funny funny dark exciting emotional dark,0,1,1,1,0
love funny emotional scary adventure dark futuristic funny scary dark exciting emotional,1,0,1,0,0
dark dark dark scary emotional love love adventure emotional funny,0,0,1,0,1
funny futuristic exciting dark scary funny adventure adventure emotional love exciting funny futuristic,1,1,1,0,0
futuristic futuristic adventure funny exciting emotional exciting emotional exciting exciting funny,1,1,1,1,0
exciting futuristic exciting emotional scary love love scary emotional,0,1,0,0,0
love futuristic funny exciting exciting,0,0,0,0,1
emotional funny dark futuristic scary dark adventure,1,0,0,0,1
futuristic adventure adventure exciting funny love exciting dark emotional,0,0,1,1,1
love funny love funny futuristic dark dark exciting,0,1,0,0,0
funny scary emotional futuristic adventure dark scary adventure futuristic,1,0,1,1,1
adventure emotional funny exciting dark,1,1,1,1,0
