text,intensity
ok great ok horrible ok terrible great great amazing,-0.446
bad horrible terrible terrible fine great great bad fine fine terrible terrible,-0.323
terrible horrible terrible amazing terrible terrible fine ok good,-0.283
great bad ok horrible horrible terrible amazing amazing terrible,0.796
fine great amazing great amazing amazing terrible great horrible bad bad fine,-0.998
fine bad fine great bad good bad fine great good ok great ok,-0.796
good fine great good terrible terrible bad,-0.443
good good good fine bad ok fine,-0.901
amazing horrible terrible great great amazing fine horrible fine terrible ok ok ok,0.195
terrible bad horrible bad great bad fine good good good good,-0.887
bad good horrible great good horrible fine horrible,-0.428
terrible amazing fine good good amazing terrible ok ok amazing,0.333
ok fine great great fine fine good,-0.117
horrible terrible great amazing bad amazing ok fine great fine amazing terrible ok,-0.5
terrible good bad horrible good amazing fine,0.637
bad great bad good fine good horrible amazing horrible bad great great,-0.452
ok fine ok terrible amazing great,-0.582
good terrible good fine great amazing,0.411
ok great horrible good fine terrible bad fine,0.646
great fine great terrible amazing great terrible,-0.51
horrible terrible ok horrible ok good horrible good ok ok amazing terrible terrible,-0.697
ok fine ok fine amazing amazing terrible fine terrible amazing fine ok bad amazing,0.086
good amazing amazing ok amazing bad terrible amazing bad,-0.176
fine horrible great horrible fine fine bad good horrible fine,0.782
fine amazing horrible amazing terrible amazing fine ok fine,-0.416
ok good ok terrible ok ok fine ok bad bad,0.41
good good horrible bad amazing fine great horrible bad,0.923
good fine bad ok amazing ok amazing fine amazing bad amazing,0.142
good bad terrible amazing bad great horrible terrible,-0.539
horrible bad horrible fine great amazing good horrible amazing good ok bad horrible terrible,-0.015
horrible ok ok amazing good fine bad good great bad fine bad great ok,0.6
ok good bad terrible amazing horrible terrible good ok great horrible fine fine,0.285
bad terrible horrible fine fine good terrible bad great good,0.092
fine horrible ok great fine amazing good good fine terrible horrible horrible,-0.972
ok horrible fine bad amazing horrible bad,0.424
horrible great good ok great fine,0.645
horrible great good good good fine horrible,-0.598
terrible ok ok good ok,0.229
amazing good amazing horrible fine,-0.474
ok great ok terrible horrible terrible horrible amazing horrible horrible,-0.921
amazing amazing amazing ok ok terrible ok terrible good ok good,0.473
amazing horrible great amazing ok terrible good,0.252
amazing terrible ok bad terrible fine,0.522
amazing amazing terrible ok terrible bad horrible terrible bad terrible terrible bad bad,-0.566
good fine ok good ok great great ok horrible,0.92
ok horrible great great ok fine fine fine bad horrible ok ok bad amazing,0.592
great fine amazing ok amazing horrible,-0.24
amazing fine terrible good good ok ok fine great horrible amazing bad great,0.279
great horrible bad bad great fine bad good fine terrible fine great,0.497
amazing great horrible horrible terrible bad amazing amazing,-0.491
fine terrible ok bad amazing,-0.679
fine terrible terrible ok terrible good amazing fine amazing fine,0.463
bad great bad terrible bad fine bad fine fine ok bad good fine,0.05
great terrible bad amazing amazing horrible terrible horrible great,0.777
terrible ok good ok fine ok fine,-0.863
great terrible good ok good terrible amazing amazing great terrible amazing amazing,0.913
bad good fine ok ok,-0.394
fine horrible horrible good good ok ok good horrible,0.39
amazing terrible fine fine good,-0.939
bad horrible amazing bad fine bad terrible good terrible good great good bad,-0.984
terrible horrible great amazing amazing horrible ok good fine terrible horrible fine,0.817
great amazing ok amazing great bad,-0.185
terrible ok bad great great bad great ok good amazing amazing fine,-0.77
horrible horrible good terrible amazing amazing great,0.491
fine fine amazing terrible good good amazing fine terrible,-0.488
good bad bad terrible bad terrible horrible horrible,0.931
good amazing good ok horrible good,-0.135
ok terrible fine terrible bad,-0.915
ok horrible amazing great great horrible good ok ok fine horrible terrible,-0.18
good great great horrible good horrible ok fine terrible ok amazing,0.005
good fine bad horrible great horrible ok horrible amazing fine ok good fine,-0.025
horrible good horrible amazing ok ok,0.812
great good terrible ok great horrible,0.775
ok fine terrible terrible good,0.651
terrible bad good amazing terrible fine bad fine,-0.821
fine great amazing bad great fine bad amazing,0.879
amazing horrible great terrible bad horrible fine good horrible horrible amazing terrible bad horrible,-0.443
great horrible fine terrible bad fine great good fine bad,-0.902
amazing ok bad horrible good horrible bad good bad,0.995
terrible terrible bad bad good horrible horrible fine amazing ok,-0.874
fine bad great ok fine great ok fine amazing horrible horrible bad ok,-0.878
ok ok horrible fine terrible horrible bad amazing terrible good,0.606
bad terrible good great amazing fine good horrible good bad bad,-0.86
fine fine bad fine great fine good ok great fine terrible good,-0.084
ok fine bad good ok good horrible great horrible,0.41
great ok fine great great great,-0.335
fine terrible amazing horrible good great amazing good,0.33
ok horrible good horrible bad ok terrible great bad terrible great great horrible great,0.912
fine horrible terrible good fine bad good good good horrible good terrible,0.989
amazing ok amazing fine amazing good bad great ok great,-0.001
bad horrible ok ok bad good terrible bad terrible great,0.521
amazing great horrible amazing good,0.313
ok good horrible bad ok good terrible horrible bad amazing terrible ok,0.835
ok ok terrible great ok,0.863
ok amazing bad terrible terrible fine good good,0.153
fine amazing terrible great good ok terrible,-0.393
terrible great terrible horrible good terrible,-0.754
amazing ok good great horrible ok terrible terrible fine fine fine bad,-0.285
ok ok terrible terrible great ok fine good fine good terrible terrible,0.393
horrible ok fine amazing bad horrible great good,-0.202
fine terrible terrible ok ok great terrible,-0.959
terrible terrible ok good ok amazing terrible,0.193
amazing terrible terrible great bad terrible good terrible terrible great great fine bad fine,-0.176
bad bad horrible terrible fine horrible great terrible,-0.494
bad ok amazing terrible bad bad bad horrible,-0.314
great good good great horrible,0.387
fine terrible good great bad terrible great,-0.928
amazing terrible ok bad terrible fine great fine horrible amazing,-0.216
bad amazing great fine great,-0.847
good horrible horrible amazing ok terrible great,0.428
