text,label
click deal click deal win info deal offer deal meeting win offer,0
report offer meeting info win report meeting meeting free win offer click info click offer offer,1
offer free report offer click offer,0
free deal deal meeting info hello report urgent meeting info deal click urgent info info meeting,0
urgent win hello win urgent win free deal free offer win offer click report click urgent info deal,0
meeting report hello hello hello win,0
free report free info report free report info,0
win win hello click hello urgent free report click info urgent info,1
win hello free click deal urgent,0
urgent hello win hello report click free offer meeting meeting hello report click deal meeting click free info report,0
win click free deal offer win offer deal free meeting offer win hello urgent click meeting offer info click,0
deal urgent free hello hello deal report deal,0
report report meeting meeting win offer offer free offer meeting win win report deal free report,1
offer report click offer deal free deal report report hello free info offer,0
free win free free deal free,1
hello info report urgent win report urgent info info win win info urgent free offer click report,0
report deal urgent deal win offer offer win hello urgent hello hello report,1
report info click deal info win report urgent deal click info click urgent hello,0
offer urgent meeting urgent click win report win click report meeting offer deal click info click click,0
report free urgent free meeting info offer hello meeting hello hello offer win free click deal hello,1
meeting win hello win win hello report urgent info click click info report click,0
win offer meeting free click info offer hello urgent info win urgent meeting meeting report deal report,1
offer urgent deal hello win urgent report free deal deal win click meeting meeting free offer,0
offer hello urgent info click report info info deal free meeting hello offer free deal report,1
deal meeting meeting meeting free free offer offer,0
report hello win win deal meeting hello info free urgent click report meeting meeting meeting free,0
click info hello meeting win,1
win deal win deal urgent offer win urgent report hello urgent hello,0
info urgent offer win meeting free,0
offer report meeting report win free urgent urgent info info win,0
free info offer offer free offer,0
hello free free click meeting meeting deal info win win report deal free,0
deal deal meeting deal hello win report hello report click report win win,0
deal urgent click free offer report urgent deal meeting free info urgent meeting click deal free free,1
click report info click offer,1
info win deal click meeting info offer win report meeting info deal meeting win meeting hello urgent report,1
win meeting urgent urgent meeting deal hello click hello meeting report click win hello meeting hello click offer,0
hello win win free hello info deal urgent info urgent urgent offer free info,1
info offer hello hello hello report urgent report free offer info urgent report report meeting report deal,0
deal info offer info deal info offer offer free info meeting hello win offer,0
hello urgent info deal win click hello,0
