Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,female,61.7,2,1,100.49,Q,1
1,male,4.4,1,3,130.5,Q,1
3,female,79.6,1,3,154.75,S,0
3,male,38.1,4,3,76.51,C,1
1,female,23.1,4,3,38.88,Q,0
1,female,70.8,4,3,185.13,C,0
3,female,60.1,2,3,90.15,Q,0
2,female,76.3,4,0,176.47,S,0
3,male,27.1,0,2,50.54,S,0
3,female,44.7,3,3,146.94,Q,1
3,male,46.2,0,2,162.11,S,1
3,male,78.4,0,2,20.29,Q,1
1,male,7.0,4,0,104.3,S,0
3,male,25.2,3,3,44.65,C,0
2,female,16.1,3,1,23.7,S,0
1,male,22.2,3,0,297.04,C,1
2,male,39.3,2,1,100.09,S,0
2,male,30.4,4,2,243.91,C,1
2,female,32.2,3,2,80.12,S,1
2,female,67.7,2,0,206.04,C,0
1,female,74.5,1,0,229.27,Q,0
1,female,6.6,1,1,180.71,Q,1
2,male,17.5,2,3,144.11,C,0
2,male,54.0,2,1,126.49,S,1
1,female,29.3,4,0,107.92,C,0
1,male,21.1,4,1,279.21,S,0
1,male,24.3,1,0,250.03,Q,1
3,male,26.5,3,1,289.68,S,0
3,female,68.0,1,0,41.67,Q,1
3,female,11.8,3,0,220.61,S,0
2,male,57.0,3,0,281.81,S,1
3,female,44.7,4,3,58.46,S,1
2,female,24.4,0,1,24.62,C,0
2,female,34.2,0,1,223.63,C,1
3,female,21.2,2,1,174.47,Q,0
2,female,49.3,4,0,253.34,Q,0
3,male,7.4,3,1,46.23,C,0
3,female,1.4,0,1,239.6,Q,1
1,male,50.6,3,0,64.48,C,1
3,male,16.3,0,2,53.28,S,0
1,female,6.6,0,0,53.46,Q,0
3,male,32.3,0,1,245.3,Q,1
3,male,5.0,4,0,201.23,C,0
1,male,71.0,1,2,159.3,Q,0
1,female,3.2,3,0,110.85,Q,1
3,female,46.7,4,1,263.77,S,0
2,male,35.6,4,2,120.77,Q,1
1,female,54.1,4,3,245.9,S,0
2,female,26.9,4,1,134.54,C,1
2,female,13.2,4,2,116.2,Q,0
2,female,78.6,2,2,141.49,S,0
1,male,67.3,3,3,93.91,C,1
2,male,69.0,4,0,225.54,Q,0
1,female,20.8,3,0,153.3,C,1
2,female,4.1,2,1,73.5,Q,0
3,male,25.0,2,3,270.37,C,1
3,male,43.4,3,0,118.25,C,1
1,female,26.8,0,3,165.35,S,1
3,male,66.4,1,0,272.41,C,1
3,female,22.5,0,2,189.15,Q,0
2,female,77.3,0,0,39.48,Q,0
1,male,37.1,0,3,282.25,S,1
2,male,67.5,4,2,190.17,Q,1
2,female,16.4,2,2,103.8,Q,1
2,female,33.5,0,2,46.09,Q,0
2,male,56.3,2,3,239.24,C,0
2,female,11.9,3,1,187.92,C,0
2,male,11.5,1,1,162.37,Q,0
2,female,77.6,3,1,268.7,S,1
1,male,57.5,3,3,237.64,C,1
3,male,4.2,4,2,49.74,S,1
2,male,32.5,1,1,96.96,Q,0
2,female,35.2,3,3,78.3,Q,0
2,female,59.8,3,1,224.46,C,0
2,male,20.8,1,0,14.89,Q,1
2,female,15.6,1,1,173.12,C,1
2,male,7.4,3,1,229.93,Q,0
3,male,34.8,1,2,263.65,Q,1
3,female,55.4,3,3,105.91,C,0
2,female,5.6,3,2,247.27,C,0
3,male,73.3,4,2,37.64,C,1
1,female,35.9,0,2,254.7,Q,0
2,female,19.9,3,2,42.61,Q,1
1,male,8.4,2,2,122.2,S,0
1,male,15.4,0,1,240.2,C,1
2,female,74.8,0,2,49.23,Q,1
3,male,51.4,0,2,72.63,Q,1
1,male,41.8,4,3,218.06,C,0
2,female,52.9,3,0,217.41,S,0
1,male,35.4,4,1,194.14,C,1
1,male,58.7,3,1,209.71,S,1
1,female,4.8,4,1,165.1,Q,0
1,female,45.7,4,2,79.28,S,0
3,male,13.5,2,2,106.98,Q,0
1,male,10.5,4,2,58.57,C,1
1,female,28.0,1,3,272.99,C,0
1,female,8.3,2,0,177.1,C,0
3,female,8.4,4,2,123.25,S,1
1,female,25.6,0,0,141.29,Q,0
1,male,78.4,1,3,284.45,C,0
3,female,14.9,1,1,50.24,C,0
3,female,2.4,1,2,177.94,Q,1
3,male,61.3,2,0,154.24,C,1
