make,year,engine_size,horsepower,weight,mpg
Honda,2016,2.5,155.0,2529.0,20.9
Honda,2010,4.8,443.0,1040.0,46.1
Toyota,2022,3.3,434.0,1139.0,55.1
Honda,2024,3.7,278.0,2551.0,44.0
Honda,2014,2.7,136.0,1249.0,34.6
BMW,2015,4.9,196.0,2373.0,49.2
Tesla,2011,3.9,103.0,2458.0,22.3
Toyota,2023,4.3,252.0,1987.0,54.8
Toyota,2016,3.6,476.0,1548.0,33.5
BMW,2018,4.7,281.0,2399.0,50.2
Toyota,2015,2.9,483.0,2864.0,34.1
Toyota,2010,4.7,438.0,1551.0,20.8
Honda,2021,4.7,338.0,2602.0,37.7
Toyota,2015,4.6,491.0,1213.0,57.4
Tesla,2012,2.5,411.0,1545.0,42.1
Toyota,2017,2.6,497.0,1396.0,54.4
BMW,2012,4.5,288.0,2793.0,23.7
Honda,2022,4.4,234.0,1923.0,28.1
BMW,2017,2.0,376.0,1048.0,46.8
BMW,2016,3.3,438.0,1157.0,50.8
BMW,2018,4.2,344.0,1340.0,26.2
Honda,2014,2.7,283.0,1543.0,30.2
Honda,2011,4.5,375.0,1874.0,25.2
BMW,2020,3.4,248.0,1163.0,18.9
BMW,2024,1.9,352.0,1555.0,19.1
BMW,2022,3.2,242.0,1202.0,53.8
BMW,2018,2.1,373.0,2873.0,37.7
BMW,2021,1.6,159.0,1282.0,21.8
Tesla,2018,2.6,491.0,1288.0,49.5
Tesla,2023,3.8,381.0,1309.0,22.3
Toyota,2018,2.5,467.0,1528.0,59.4
Toyota,2014,3.7,488.0,1900.0,38.0
Tesla,2011,2.2,277.0,1508.0,20.5
Honda,2023,4.5,205.0,1203.0,16.9
BMW,2012,4.7,206.0,1933.0,46.3
Toyota,2014,3.7,179.0,1505.0,25.9
BMW,2021,2.2,127.0,2680.0,55.9
Tesla,2019,5.0,253.0,2763.0,24.4
Toyota,2019,4.0,166.0,1286.0,50.8
Toyota,2011,4.9,119.0,1037.0,34.9
Tesla,2023,4.1,385.0,2286.0,43.8
Toyota,2015,3.0,157.0,1468.0,16.5
Honda,2015,4.6,293.0,2301.0,15.1
Honda,2018,2.5,178.0,2521.0,48.6
Toyota,2017,3.4,139.0,2170.0,28.2
BMW,2024,3.9,302.0,2562.0,35.7
Toyota,2018,2.0,431.0,1870.0,52.7
Honda,2014,3.1,173.0,1926.0,57.3
BMW,2016,1.9,171.0,1355.0,33.8
BMW,2016,1.9,347.0,2533.0,45.9
Tesla,2019,3.5,466.0,1647.0,45.0
Tesla,2024,1.7,269.0,2872.0,28.5
Tesla,2010,3.9,224.0,2638.0,20.4
Toyota,2013,3.6,326.0,2034.0,41.3
Honda,2017,4.8,256.0,1049.0,57.7
Toyota,2014,2.9,403.0,2525.0,16.2
Honda,2020,3.8,179.0,1444.0,26.8
BMW,2016,3.6,464.0,1882.0,48.8
Toyota,2023,3.5,401.0,2946.0,58.9
BMW,2019,3.4,415.0,2414.0,25.1
Toyota,2020,3.8,315.0,2867.0,36.8
Toyota,2022,1.6,369.0,2783.0,31.4
BMW,2011,2.4,450.0,2557.0,49.8
BMW,2017,2.0,352.0,1448.0,35.2
Toyota,2019,3.8,382.0,2606.0,26.4
Tesla,2014,3.4,194.0,1188.0,51.2
Honda,2024,4.2,188.0,1141.0,23.0
Tesla,2012,4.8,466.0,1913.0,17.6
Toyota,2012,3.3,476.0,2972.0,52.8
Honda,2023,1.6,264.0,1903.0,23.9
Tesla,2017,3.8,252.0,1574.0,24.8
Honda,2018,2.2,267.0,1344.0,29.1
Honda,2010,3.0,339.0,1381.0,45.4
BMW,2015,3.4,393.0,2929.0,20.4
Honda,2010,3.7,280.0,2106.0,38.6
Toyota,2019,3.0,343.0,1574.0,46.8
BMW,2013,4.8,309.0,1772.0,59.8
Honda,2023,1.7,497.0,2622.0,20.9
Honda,2011,4.4,180.0,1541.0,29.7
BMW,2017,4.1,493.0,2544.0,22.8
Tesla,2018,1.7,228.0,1671.0,37.8
Toyota,2024,3.1,124.0,2075.0,22.6
Toyota,2011,1.7,199.0,2694.0,40.5
Toyota,2010,1.8,132.0,1734.0,33.8
BMW,2018,1.7,319.0,1577.0,31.7
Honda,2022,3.7,128.0,1711.0,16.2
BMW,2021,2.9,336.0,2734.0,49.0
BMW,2019,4.6,144.0,2607.0,26.4
Honda,2019,3.9,383.0,1022.0,15.0
Honda,2014,4.2,251.0,1269.0,59.7
Honda,2024,3.4,387.0,2966.0,53.3
Honda,2014,4.1,205.0,1755.0,56.1
Honda,2024,4.6,422.0,1365.0,38.8
Tesla,2023,4.1,496.0,1718.0,38.5
Toyota,2020,2.6,203.0,2884.0,35.5
Toyota,2020,4.4,125.0,2567.0,38.4
