pH,hardness,solids,chloramines,sulfate,conductivity,organic_carbon,turbidity,potability
5.1,175.0,41533.0,7.45,154.0,492.9,23.77,2.02,0
4.62,307.1,14288.0,10.79,204.4,197.9,27.69,1.19,0
7.63,244.7,2783.0,6.27,463.8,272.1,15.68,6.0,1
3.19,307.0,10105.0,5.83,276.3,271.4,2.05,1.36,0
4.33,240.2,12756.0,11.88,139.1,686.0,25.38,6.73,0
3.04,71.0,46256.0,12.87,310.3,694.0,26.86,4.39,0
3.27,216.4,37608.0,8.16,478.1,639.7,26.12,5.19,0
13.97,314.7,44187.0,11.96,246.5,279.7,22.07,5.35,0
7.94,107.8,22378.0,11.26,179.4,658.9,7.51,2.76,0
11.02,264.0,7054.0,7.21,355.2,286.9,5.62,5.84,0
11.11,99.9,48376.0,12.25,451.9,496.1,20.22,6.68,1
12.68,172.1,8682.0,2.97,430.7,598.3,5.65,3.22,1
4.14,72.9,23146.0,11.54,359.9,209.4,26.79,6.01,0
8.78,142.0,15958.0,4.23,194.5,520.8,13.59,5.63,1
6.54,259.6,18003.0,0.69,404.5,323.1,2.8,4.54,1
9.03,62.2,36231.0,10.3,418.1,463.8,5.92,3.21,0
6.65,136.5,10112.0,12.11,427.3,398.8,9.55,3.49,1
5.02,220.0,26919.0,3.05,271.4,571.3,20.3,2.85,1
10.4,306.1,38430.0,7.08,273.1,458.8,21.17,3.56,1
3.42,116.2,52174.0,9.82,184.3,351.9,7.54,6.94,1
12.85,96.8,22462.0,4.51,400.4,698.9,18.86,3.18,0
4.61,105.0,19326.0,2.17,388.0,726.7,2.83,4.99,0
9.77,113.9,22260.0,5.28,164.9,637.1,4.67,2.92,0
11.3,222.3,30198.0,6.1,137.0,511.0,15.91,3.8,1
3.8,319.6,18992.0,9.73,463.1,684.1,20.3,1.5,0
12.94,191.4,15252.0,2.82,136.0,523.0,25.77,5.58,0
6.92,123.3,22706.0,10.65,350.0,264.8,13.38,4.97,0
13.96,251.7,46736.0,6.68,288.8,189.9,5.12,3.08,1
3.76,92.7,15393.0,11.78,402.1,593.8,26.15,4.15,0
10.88,58.1,50724.0,7.49,160.7,608.9,13.37,6.23,0
4.77,213.4,17321.0,5.98,368.8,707.7,14.93,1.27,0
